Finger 0 Metacarpal Bone X,Finger 0 Metacarpal Bone Y,Finger 0 Metacarpal Bone Z,Finger 0 Proximal Bone X,Finger 0 Proximal Bone Y,Finger 0 Proximal Bone Z,Finger 0 Intermediate Bone X,Finger 0 Intermediate Bone Y,Finger 0 Intermediate Bone Z,Finger 0 Distal Bone X,Finger 0 Distal Bone Y,Finger 0 Distal Bone Z,Finger 1 Metacarpal Bone X,Finger 1 Metacarpal Bone Y,Finger 1 Metacarpal Bone Z,Finger 1 Proximal Bone X,Finger 1 Proximal Bone Y,Finger 1 Proximal Bone Z,Finger 1 Intermediate Bone X,Finger 1 Intermediate Bone Y,Finger 1 Intermediate Bone Z,Finger 1 Distal Bone X,Finger 1 Distal Bone Y,Finger 1 Distal Bone Z,Finger 2 Metacarpal Bone X,Finger 2 Metacarpal Bone Y,Finger 2 Metacarpal Bone Z,Finger 2 Proximal Bone X,Finger 2 Proximal Bone Y,Finger 2 Proximal Bone Z,Finger 2 Intermediate Bone X,Finger 2 Intermediate Bone Y,Finger 2 Intermediate Bone Z,Finger 2 Distal Bone X,Finger 2 Distal Bone Y,Finger 2 Distal Bone Z,Finger 3 Metacarpal Bone X,Finger 3 Metacarpal Bone Y,Finger 3 Metacarpal Bone Z,Finger 3 Proximal Bone X,Finger 3 Proximal Bone Y,Finger 3 Proximal Bone Z,Finger 3 Intermediate Bone X,Finger 3 Intermediate Bone Y,Finger 3 Intermediate Bone Z,Finger 3 Distal Bone X,Finger 3 Distal Bone Y,Finger 3 Distal Bone Z,Finger 4 Metacarpal Bone X,Finger 4 Metacarpal Bone Y,Finger 4 Metacarpal Bone Z,Finger 4 Proximal Bone X,Finger 4 Proximal Bone Y,Finger 4 Proximal Bone Z,Finger 4 Intermediate Bone X,Finger 4 Intermediate Bone Y,Finger 4 Intermediate Bone Z,Finger 4 Distal Bone X,Finger 4 Distal Bone Y,Finger 4 Distal Bone Z,Hand sign
-9.015573,-18.537354,45.462868,-14.875793,-20.763275,25.742315,-19.816235,-26.063629,-7.488043,-14.611976,-31.586700,-26.348417,-14.751078,5.092621,14.389547,-25.326221,-5.940948,-22.802374,-23.345612,-26.069275,-20.548294,-18.945660,-28.164993,-6.372419,-0.085118,5.091003,10.737692,-8.625685,-8.455322,-24.346584,-10.645550,-30.350067,-18.169540,-7.917991,-31.127380,-1.201006,14.608941,2.433716,10.263014,9.756570,-10.112854,-22.153589,4.714395,-30.534241,-16.260756,4.764718,-31.842499,0.566130,28.659622,-3.592377,11.490530,26.247360,-11.094666,-18.680275,18.528179,-26.181564,-16.539284,16.788567,-26.984879,-3.734816,0.000000
-8.927756,-18.475952,45.467422,-14.620736,-20.691299,25.691994,-19.122984,-26.011887,-7.567625,-13.611238,-31.553909,-26.376490,-14.706706,5.200531,14.450130,-25.383457,-5.956406,-22.701111,-23.388025,-26.122849,-20.432152,-18.935087,-28.387589,-6.246071,-0.054889,5.071381,10.719559,-8.745850,-8.591217,-24.292137,-10.736059,-30.620758,-18.081989,-7.867200,-31.554687,-1.152826,14.647127,2.494431,10.217419,9.650904,-10.188309,-22.095392,4.607573,-30.755753,-16.107086,4.760267,-32.177048,0.700119,28.646784,-3.614136,11.405350,26.107553,-11.217850,-18.704712,18.275557,-26.327988,-16.485809,16.478329,-27.075455,-3.702797,0.000000
-9.330116,-18.918808,45.312572,-14.489826,-20.908936,25.320984,-17.674101,-25.873886,-8.161814,-10.871322,-31.173859,-26.642601,-14.533606,5.289536,14.592594,-25.236660,-5.750259,-22.088951,-23.315189,-26.215591,-19.432768,-19.030197,-28.782669,-5.196468,0.103183,5.064377,10.763897,-9.029992,-8.472946,-23.797268,-11.482682,-30.952667,-17.277826,-8.666698,-32.249527,-0.443195,14.769143,2.339706,10.152069,9.273837,-10.319275,-21.606356,3.686793,-31.265106,-15.164307,3.767995,-32.935043,1.567709,28.516407,-4.287125,11.160484,25.459156,-11.794662,-18.508507,16.919579,-26.827225,-15.889124,14.871837,-27.415634,-3.156570,0.000000
-9.395870,-18.681732,45.297768,-14.302436,-20.786530,25.238213,-17.057062,-25.801147,-8.324860,-9.893030,-30.921967,-26.711266,-14.647831,5.337494,14.520096,-25.049898,-5.997772,-22.172974,-22.939680,-26.336090,-19.373451,-18.703259,-28.724121,-5.050663,0.019295,5.093018,10.735214,-8.957028,-8.676941,-23.866499,-11.357826,-31.114288,-17.312748,-8.562718,-32.364914,-0.456293,14.707993,2.482117,10.209854,9.316647,-10.376892,-21.514820,3.706612,-31.339874,-15.004786,3.732872,-33.020386,1.738594,28.487434,-4.061066,11.323769,25.445095,-11.695938,-18.324633,16.738319,-26.672882,-15.680293,14.529125,-27.232178,-2.950459,0.000000
-9.288212,-18.239243,45.464722,-14.042349,-20.804825,25.422823,-16.669209,-26.450562,-8.087955,-9.496840,-31.730759,-26.410389,-14.890740,5.183685,14.325014,-24.750107,-6.860977,-22.330647,-22.199551,-27.179108,-19.311749,-17.986069,-29.414917,-4.949656,-0.189766,5.241867,10.668520,-8.679239,-9.143402,-23.917454,-10.699673,-31.621399,-17.226257,-7.940475,-32.789429,-0.352781,14.556847,2.945435,10.294043,9.587303,-10.393005,-21.377735,4.288399,-31.422058,-14.741341,4.267305,-33.038391,2.011522,28.497547,-3.236465,11.612047,25.700665,-11.235840,-17.991207,17.160835,-26.305237,-15.254576,14.898449,-26.873657,-2.505007,0.000000
-8.613286,-17.789520,45.765686,-13.088136,-21.144394,25.791727,-15.395344,-27.891647,-7.545202,-8.222482,-33.460403,-25.790073,-15.097914,4.789810,14.204390,-24.513472,-8.120071,-22.372410,-21.291609,-28.524017,-19.241463,-16.995461,-30.776810,-4.926731,-0.410728,5.423340,10.590952,-8.361650,-9.753616,-23.836418,-9.620476,-32.311844,-16.906038,-6.828773,-33.348495,-0.029589,14.410831,3.641220,10.268797,9.857147,-10.292068,-21.209625,5.227711,-31.411194,-14.288296,5.318535,-32.871201,2.476229,28.605789,-1.956863,11.704302,25.978828,-10.417023,-17.745918,17.918375,-25.677567,-14.730809,15.830523,-26.210342,-1.921404,0.000000
-6.990681,-18.531158,45.568565,-11.494985,-22.133179,25.659410,-14.107442,-28.945862,-7.679033,-7.258423,-34.033569,-26.144665,-15.152197,3.988739,14.446848,-24.724533,-8.876160,-22.476959,-20.769539,-29.242462,-20.042973,-16.044554,-31.766891,-5.930288,-0.565163,5.193726,10.651449,-8.241066,-9.915924,-24.002714,-8.324638,-32.445679,-17.452745,-5.201877,-33.533508,-0.587967,14.322748,4.190872,10.156256,9.995863,-9.542725,-21.562893,6.492315,-30.796204,-14.942211,6.988680,-32.391754,1.835318,28.822042,-0.640259,11.389132,26.148237,-8.809341,-18.248730,18.915792,-24.359421,-15.393152,17.261629,-25.129669,-2.515232,0.000000
-6.409117,-20.038391,45.185925,-11.505032,-22.910614,25.315105,-15.101789,-28.643066,-8.095476,-8.830954,-33.365051,-26.840641,-14.696915,3.780930,14.901421,-25.595516,-7.563293,-22.330833,-22.274727,-28.137421,-20.857990,-17.317642,-31.344177,-7.016390,-0.215143,4.839264,10.814831,-8.696930,-9.015686,-23.957283,-8.909719,-31.699860,-17.920942,-5.622980,-33.152893,-1.133419,14.635250,3.603806,9.947132,9.682041,-9.074036,-21.970295,6.267101,-30.476898,-15.809404,7.049788,-32.385834,0.899128,29.008106,-1.590088,10.666725,25.975452,-8.895630,-19.115047,18.990231,-24.630966,-16.583551,17.596943,-25.633240,-3.773621,0.000000
-7.442639,-18.509064,45.681580,-12.523939,-21.094162,25.751472,-15.763318,-27.032593,-7.581993,-9.118200,-32.882996,-25.900715,-14.440646,5.085312,14.835846,-26.036636,-6.457626,-22.312775,-23.804834,-26.691238,-20.413862,-18.937431,-29.355026,-6.384089,0.091168,5.058273,10.679432,-9.255501,-9.059250,-23.987782,-10.749718,-31.136536,-17.556492,-7.522302,-32.029465,-0.659571,14.843046,2.944214,9.831673,9.205532,-10.162949,-22.042976,4.616918,-30.964691,-15.591623,5.189447,-32.356064,1.204689,28.925200,-2.971512,10.687077,25.608644,-10.843887,-19.146879,17.822569,-26.073654,-16.490522,16.206545,-26.628159,-3.698864,0.000000
-6.348703,-17.704590,45.907757,-10.972443,-21.158173,25.988674,-13.428654,-28.109253,-7.261818,-6.138385,-33.829895,-25.327047,-14.916989,4.440277,14.618298,-25.396513,-8.751602,-22.458845,-21.772947,-28.745651,-20.225004,-16.769245,-30.902649,-6.122849,-0.368928,5.290588,10.571907,-8.776131,-10.144745,-24.221039,-9.037986,-32.207062,-17.754549,-5.675098,-32.921875,-0.839161,14.500742,4.203369,9.885117,9.683615,-9.871246,-22.084145,6.167619,-30.847412,-15.609208,6.826738,-32.251648,1.219353,28.980036,-0.671997,10.994396,26.064493,-9.224060,-18.952938,18.938562,-24.706329,-16.285128,17.327375,-25.377014,-3.425968,0.000000
-5.542023,-16.827789,46.487846,-9.971825,-20.969788,26.657223,-12.212034,-28.992157,-6.392294,-4.972550,-35.197540,-24.371546,-14.737213,4.494324,14.714851,-25.753355,-9.503540,-22.201372,-21.990671,-29.803040,-20.096048,-16.689692,-32.245972,-6.232277,-0.287580,5.555847,10.456902,-8.861994,-10.727448,-23.986883,-8.612701,-32.901703,-17.226582,-5.012060,-33.496078,-0.394112,14.583055,4.627350,9.567528,9.662399,-10.217728,-22.052094,6.701066,-31.244141,-15.145031,7.615881,-32.405304,1.675102,29.142683,-0.034470,10.560959,25.973257,-9.276459,-19.159481,19.237104,-24.871155,-16.066380,17.922579,-25.395447,-3.153774,0.000000
-6.611467,-15.512115,46.972401,-11.335211,-19.079498,27.083706,-13.949360,-27.061295,-5.887825,-7.046260,-34.624023,-23.534672,-14.044341,6.217010,14.804562,-26.882935,-7.092194,-22.080284,-25.142796,-27.265747,-19.916218,-20.002831,-29.637527,-5.992271,0.398110,5.679428,10.338470,-9.942312,-10.247849,-23.745110,-11.560005,-31.744080,-16.507259,-7.920385,-31.810410,0.394287,15.094510,3.286987,9.295341,8.720260,-11.573837,-22.097132,4.111875,-31.812775,-14.798977,4.915486,-32.331848,2.092125,29.177490,-2.643585,10.213169,25.191502,-12.195374,-19.410934,17.441284,-27.140228,-16.072083,16.118999,-27.180634,-3.160263,0.000000
-7.641341,-16.124268,46.847916,-12.319793,-18.932037,26.841454,-14.481727,-25.777222,-6.280123,-6.830952,-32.824829,-23.657055,-13.872867,6.374084,14.791504,-26.442753,-5.901215,-21.745489,-25.019936,-26.131088,-19.132341,-20.198059,-28.375488,-5.057442,0.629721,5.617523,10.443039,-10.035173,-9.262634,-23.579136,-12.684336,-30.754913,-16.281544,-9.442014,-30.927185,0.669189,15.181310,2.389496,9.412609,8.299759,-11.537399,-22.029205,2.719594,-31.492920,-14.832935,3.412286,-32.114304,2.093948,29.060852,-4.147369,10.283691,24.585430,-12.827423,-19.371744,15.865956,-27.155640,-16.149763,14.411633,-27.139130,-3.199369,0.000000
-7.139739,-16.419983,46.634933,-11.470110,-19.848938,26.643568,-12.959994,-27.009384,-6.492781,-4.707908,-33.129608,-23.956024,-14.460527,5.464417,14.593641,-25.537218,-7.696854,-21.817596,-22.736923,-27.951523,-18.873051,-18.048466,-30.002563,-4.690126,0.131041,5.699646,10.464067,-9.306169,-9.815704,-23.674820,-10.831129,-31.714630,-16.460537,-7.677129,-32.104736,0.486147,14.863708,3.335297,9.633261,8.953406,-10.939392,-21.844025,4.313378,-31.358200,-14.717028,5.047531,-32.310791,2.202036,29.142199,-2.376068,10.702112,25.087769,-11.098236,-18.956556,16.736265,-25.696777,-15.777819,15.220175,-25.934235,-2.779554,0.000000
