Hand 0 Finger 0 Metacarpal Bone X,Hand 0 Finger 0 Metacarpal Bone Y,Hand 0 Finger 0 Metacarpal Bone Z,Hand 0 Finger 0 Proximal Bone X,Hand 0 Finger 0 Proximal Bone Y,Hand 0 Finger 0 Proximal Bone Z,Hand 0 Finger 0 Intermediate Bone X,Hand 0 Finger 0 Intermediate Bone Y,Hand 0 Finger 0 Intermediate Bone Z,Hand 0 Finger 0 Distal Bone X,Hand 0 Finger 0 Distal Bone Y,Hand 0 Finger 0 Distal Bone Z,Hand 0 Finger 1 Metacarpal Bone X,Hand 0 Finger 1 Metacarpal Bone Y,Hand 0 Finger 1 Metacarpal Bone Z,Hand 0 Finger 1 Proximal Bone X,Hand 0 Finger 1 Proximal Bone Y,Hand 0 Finger 1 Proximal Bone Z,Hand 0 Finger 1 Intermediate Bone X,Hand 0 Finger 1 Intermediate Bone Y,Hand 0 Finger 1 Intermediate Bone Z,Hand 0 Finger 1 Distal Bone X,Hand 0 Finger 1 Distal Bone Y,Hand 0 Finger 1 Distal Bone Z,Hand 0 Finger 2 Metacarpal Bone X,Hand 0 Finger 2 Metacarpal Bone Y,Hand 0 Finger 2 Metacarpal Bone Z,Hand 0 Finger 2 Proximal Bone X,Hand 0 Finger 2 Proximal Bone Y,Hand 0 Finger 2 Proximal Bone Z,Hand 0 Finger 2 Intermediate Bone X,Hand 0 Finger 2 Intermediate Bone Y,Hand 0 Finger 2 Intermediate Bone Z,Hand 0 Finger 2 Distal Bone X,Hand 0 Finger 2 Distal Bone Y,Hand 0 Finger 2 Distal Bone Z,Hand 0 Finger 3 Metacarpal Bone X,Hand 0 Finger 3 Metacarpal Bone Y,Hand 0 Finger 3 Metacarpal Bone Z,Hand 0 Finger 3 Proximal Bone X,Hand 0 Finger 3 Proximal Bone Y,Hand 0 Finger 3 Proximal Bone Z,Hand 0 Finger 3 Intermediate Bone X,Hand 0 Finger 3 Intermediate Bone Y,Hand 0 Finger 3 Intermediate Bone Z,Hand 0 Finger 3 Distal Bone X,Hand 0 Finger 3 Distal Bone Y,Hand 0 Finger 3 Distal Bone Z,Hand 0 Finger 4 Metacarpal Bone X,Hand 0 Finger 4 Metacarpal Bone Y,Hand 0 Finger 4 Metacarpal Bone Z,Hand 0 Finger 4 Proximal Bone X,Hand 0 Finger 4 Proximal Bone Y,Hand 0 Finger 4 Proximal Bone Z,Hand 0 Finger 4 Intermediate Bone X,Hand 0 Finger 4 Intermediate Bone Y,Hand 0 Finger 4 Intermediate Bone Z,Hand 0 Finger 4 Distal Bone X,Hand 0 Finger 4 Distal Bone Y,Hand 0 Finger 4 Distal Bone Z,Hand 1 Finger 0 Metacarpal Bone X,Hand 1 Finger 0 Metacarpal Bone Y,Hand 1 Finger 0 Metacarpal Bone Z,Hand 1 Finger 0 Proximal Bone X,Hand 1 Finger 0 Proximal Bone Y,Hand 1 Finger 0 Proximal Bone Z,Hand 1 Finger 0 Intermediate Bone X,Hand 1 Finger 0 Intermediate Bone Y,Hand 1 Finger 0 Intermediate Bone Z,Hand 1 Finger 0 Distal Bone X,Hand 1 Finger 0 Distal Bone Y,Hand 1 Finger 0 Distal Bone Z,Hand 1 Finger 1 Metacarpal Bone X,Hand 1 Finger 1 Metacarpal Bone Y,Hand 1 Finger 1 Metacarpal Bone Z,Hand 1 Finger 1 Proximal Bone X,Hand 1 Finger 1 Proximal Bone Y,Hand 1 Finger 1 Proximal Bone Z,Hand 1 Finger 1 Intermediate Bone X,Hand 1 Finger 1 Intermediate Bone Y,Hand 1 Finger 1 Intermediate Bone Z,Hand 1 Finger 1 Distal Bone X,Hand 1 Finger 1 Distal Bone Y,Hand 1 Finger 1 Distal Bone Z,Hand 1 Finger 2 Metacarpal Bone X,Hand 1 Finger 2 Metacarpal Bone Y,Hand 1 Finger 2 Metacarpal Bone Z,Hand 1 Finger 2 Proximal Bone X,Hand 1 Finger 2 Proximal Bone Y,Hand 1 Finger 2 Proximal Bone Z,Hand 1 Finger 2 Intermediate Bone X,Hand 1 Finger 2 Intermediate Bone Y,Hand 1 Finger 2 Intermediate Bone Z,Hand 1 Finger 2 Distal Bone X,Hand 1 Finger 2 Distal Bone Y,Hand 1 Finger 2 Distal Bone Z,Hand 1 Finger 3 Metacarpal Bone X,Hand 1 Finger 3 Metacarpal Bone Y,Hand 1 Finger 3 Metacarpal Bone Z,Hand 1 Finger 3 Proximal Bone X,Hand 1 Finger 3 Proximal Bone Y,Hand 1 Finger 3 Proximal Bone Z,Hand 1 Finger 3 Intermediate Bone X,Hand 1 Finger 3 Intermediate Bone Y,Hand 1 Finger 3 Intermediate Bone Z,Hand 1 Finger 3 Distal Bone X,Hand 1 Finger 3 Distal Bone Y,Hand 1 Finger 3 Distal Bone Z,Hand 1 Finger 4 Metacarpal Bone X,Hand 1 Finger 4 Metacarpal Bone Y,Hand 1 Finger 4 Metacarpal Bone Z,Hand 1 Finger 4 Proximal Bone X,Hand 1 Finger 4 Proximal Bone Y,Hand 1 Finger 4 Proximal Bone Z,Hand 1 Finger 4 Intermediate Bone X,Hand 1 Finger 4 Intermediate Bone Y,Hand 1 Finger 4 Intermediate Bone Z,Hand 1 Finger 4 Distal Bone X,Hand 1 Finger 4 Distal Bone Y,Hand 1 Finger 4 Distal Bone Z,Hand sign
-9.957634,7.633820,48.870037,9.419060,8.917511,43.962337,41.230728,8.891083,34.141850,59.316238,5.379150,25.669102,6.473175,12.989777,13.586220,33.835617,9.910065,-23.240564,45.152779,11.619904,-45.717281,52.640430,5.061371,-54.682255,-5.427391,10.517090,4.540764,16.446312,3.603058,-36.173180,25.964764,1.292664,-63.326305,33.055573,-6.957306,-74.270142,-17.606781,4.144440,0.769871,-3.202164,-4.994446,-38.431095,3.043732,-9.576324,-64.574051,9.317032,-18.156036,-75.649002,-28.619514,-5.591095,1.128868,-22.127502,-15.674927,-34.425194,-21.240997,-21.704468,-54.055161,-16.446732,-29.980652,-61.315166,0.000000,-3.614326,-5.596375,50.278305,-20.815086,0.374573,41.593628,-48.215038,7.913910,23.956184,-61.244209,7.881531,8.592903,-7.806404,11.123657,14.955898,-27.416344,18.207947,-27.872129,-36.500847,17.937134,-50.348297,-42.890923,8.191833,-56.741886,4.989319,7.321106,8.329243,-8.767929,11.648590,-37.590393,-16.264343,10.675964,-65.230919,-23.909573,1.288818,-74.795876,16.855408,-0.268799,5.558281,9.280937,0.429382,-37.825642,3.731323,-2.694519,-64.372627,-3.980637,-11.939972,-74.178307,26.738922,-11.214844,5.562710,25.626190,-12.550812,-32.924141,24.029022,-16.173035,-53.254009,17.448746,-23.483521,-60.412136,0.000000
-9.953529,7.685852,48.845257,9.440468,8.738129,43.938663,41.245441,8.327454,34.089268,59.266289,4.597351,25.557228,6.524055,12.959534,13.598919,33.880661,9.746399,-23.217611,45.186043,11.394989,-45.707962,52.632149,4.805298,-54.688408,-5.385506,10.540710,4.536922,16.501823,3.481140,-36.161041,26.043304,1.035217,-63.292114,33.097206,-7.299500,-74.207275,-17.590187,4.223755,0.753223,-3.170418,-5.025726,-38.433598,3.113518,-9.735352,-64.541626,9.362923,-18.406372,-75.575638,-28.645622,-5.459473,1.112045,-22.133385,-15.614655,-34.427402,-21.185936,-21.732483,-54.001446,-16.377296,-30.081543,-61.154537,0.000000,-3.650185,-5.635223,50.256271,-20.827736,0.406555,41.579140,-48.208298,8.094788,23.972946,-61.307941,8.221497,8.646423,-7.804001,11.114471,14.966026,-27.298817,18.341919,-27.866055,-36.276512,18.266571,-50.417568,-42.692459,8.636902,-56.952713,5.001556,7.309937,8.340862,-8.682503,11.682220,-37.589481,-16.100990,10.723267,-65.250824,-23.732090,1.359497,-74.855164,16.854500,-0.299866,5.570530,9.323875,0.407471,-37.819302,3.806000,-2.750732,-64.361290,-3.911987,-11.990051,-74.188576,26.714043,-11.265991,5.572632,25.621422,-12.599304,-32.912304,24.013443,-16.257721,-53.219452,17.404617,-23.568390,-60.355061,0.000000
-9.941078,7.668549,48.844238,9.452339,8.731323,43.941193,41.258186,8.289062,34.113831,59.230568,4.408722,25.593168,6.538971,12.948517,13.613005,33.930115,9.629883,-23.206654,45.277687,11.089355,-45.660103,52.676636,4.359772,-54.551109,-5.376244,10.544098,4.544252,16.532280,3.430847,-36.148754,26.101242,0.913696,-63.258469,33.128639,-7.464508,-74.140221,-17.588432,4.245117,0.756781,-3.164886,-5.006470,-38.429882,3.127853,-9.712341,-64.533829,9.359192,-18.382965,-75.572311,-28.651726,-5.428406,1.117579,-22.136467,-15.570465,-34.424885,-21.172203,-21.686859,-53.986069,-16.368500,-30.052277,-61.111572,0.000000,-3.657883,-5.669098,50.246181,-20.843483,0.400665,41.602535,-48.195412,8.115936,23.984829,-61.153481,8.211212,8.572140,-7.822350,11.092194,14.967800,-27.312004,18.356232,-27.853897,-36.303818,18.358002,-50.408501,-42.716389,8.765106,-56.932716,4.991463,7.315369,8.349545,-8.670296,11.705963,-37.581211,-16.090523,10.722382,-65.213715,-23.712120,1.296051,-74.684937,16.853432,-0.280640,5.581890,9.357643,0.457214,-37.807976,3.844185,-2.702026,-64.325310,-3.892159,-11.982513,-74.036911,26.719246,-11.242279,5.585106,25.661018,-12.519867,-32.896980,24.055603,-16.131683,-53.190601,17.414238,-23.438385,-60.255676,0.000000
-10.002548,7.782379,48.828411,9.376305,9.055328,43.949596,41.173996,8.907867,34.167965,59.109039,5.053192,25.654865,6.565781,12.956451,13.582413,33.991558,9.456360,-23.197018,45.388161,10.795441,-45.614754,52.779522,3.988312,-54.425488,-5.353783,10.580536,4.507816,16.556095,3.328400,-36.143089,26.134541,0.796387,-63.244419,33.173454,-7.555328,-74.115341,-17.582222,4.311188,0.731911,-3.185341,-5.021484,-38.417049,3.079247,-9.683044,-64.526169,9.313194,-18.300079,-75.578804,-28.658806,-5.351990,1.124359,-22.161827,-15.516052,-34.392883,-21.205711,-21.570282,-53.955444,-16.387199,-29.917084,-61.061310,0.000000,-3.757812,-5.975037,50.205734,-20.907066,0.247620,41.600563,-48.160995,8.261749,23.980850,-60.931145,8.563629,8.460472,-7.897972,10.984283,15.016582,-27.368713,18.296661,-27.819071,-36.370110,18.190338,-50.338287,-42.701073,8.526154,-56.782265,4.950218,7.283600,8.408463,-8.647972,11.818207,-37.521801,-16.050346,10.805206,-65.105042,-23.609032,1.292511,-74.472527,16.849419,-0.245636,5.634422,9.468925,0.737030,-37.744541,4.034325,-2.284912,-64.237816,-3.649521,-11.565765,-73.924461,26.737137,-11.186432,5.603073,25.809898,-12.172272,-32.865589,24.275383,-15.584259,-53.141983,17.638710,-22.849213,-60.200222,0.000000
-9.935966,7.534241,48.891804,9.431427,8.859161,43.985775,41.213314,8.870422,34.140621,59.149200,5.210602,25.543034,6.549751,12.938751,13.618832,34.000275,9.533081,-23.232288,45.475010,10.735596,-45.602127,52.881760,3.824585,-54.298462,-5.367073,10.527283,4.567822,16.545818,3.410370,-36.162182,26.175797,0.828156,-63.254444,33.236977,-7.591125,-74.035782,-17.586128,4.235779,0.792622,-3.191475,-4.965271,-38.427334,3.102867,-9.643677,-64.540680,9.349907,-18.303528,-75.537460,-28.654594,-5.434143,1.145947,-22.161186,-15.501587,-34.429771,-21.192833,-21.577332,-54.010582,-16.373718,-29.933838,-61.090691,0.000000,-3.755318,-6.081116,50.191021,-20.887280,0.258636,41.648998,-48.091606,8.516266,24.093166,-60.752167,9.009308,8.532986,-7.955246,10.922150,15.032772,-27.392273,18.255707,-27.790194,-36.338882,18.228790,-50.331062,-42.620953,8.609833,-56.846195,4.930710,7.299591,8.428707,-8.626099,11.871552,-37.484463,-15.949211,10.906738,-65.067642,-23.414925,1.395660,-74.462250,16.859474,-0.179352,5.661579,9.558006,0.942413,-37.689236,4.245697,-1.873322,-64.206139,-3.349861,-11.063416,-74.001076,26.757019,-11.113312,5.629597,25.929764,-11.899994,-32.809673,24.505875,-15.070892,-53.091808,17.911652,-22.247650,-60.232285,0.000000
-9.991928,7.626221,48.869392,9.379242,8.832336,43.952019,41.147301,8.689880,34.066284,59.072083,5.040985,25.423140,6.562378,12.937622,13.611078,34.013859,9.461914,-23.207016,45.463291,10.623779,-45.574478,52.861061,3.682434,-54.293343,-5.357613,10.550018,4.543600,16.556084,3.401917,-36.144463,26.164684,0.852386,-63.227005,33.218193,-7.557739,-74.028358,-17.585159,4.282959,0.761229,-3.183334,-4.926361,-38.421036,3.110077,-9.537476,-64.524612,9.369286,-18.157715,-75.543343,-28.661163,-5.379822,1.118773,-22.164429,-15.454285,-34.434628,-21.193077,-21.490051,-54.006538,-16.356888,-29.834290,-61.101265,0.000000,-3.681168,-6.034515,50.194439,-20.804695,0.362091,41.680080,-47.942379,8.674988,24.088013,-60.437160,9.137085,8.428921,-7.956322,10.922363,15.032963,-27.370026,18.262939,-27.766644,-36.240135,18.381714,-50.367462,-42.518875,8.867584,-57.018658,4.945679,7.325043,8.417900,-8.599464,11.916504,-37.464607,-15.815620,11.125854,-65.106880,-23.210995,1.738556,-74.649963,16.876747,-0.148315,5.653797,9.597496,1.060150,-37.661606,4.411781,-1.466949,-64.257019,-3.104988,-10.456238,-74.274429,26.759285,-11.100769,5.628651,25.965721,-11.770355,-32.782932,24.663826,-14.670471,-53.124855,18.137352,-21.687256,-60.466213,0.000000
-9.970322,7.710388,48.861515,9.406792,8.828003,43.935055,41.164440,8.477142,34.020733,59.016857,4.595245,25.340569,6.549454,12.952972,13.589413,33.990501,9.529205,-23.211243,45.443100,10.788361,-45.570026,52.876541,3.887543,-54.295895,-5.367737,10.561188,4.528973,16.527130,3.450073,-36.146458,26.118431,0.986786,-63.233032,33.186958,-7.389618,-74.043671,-17.589600,4.276886,0.755402,-3.207855,-4.904785,-38.416622,3.056000,-9.426483,-64.539230,9.315201,-18.003082,-75.585632,-28.649612,-5.410675,1.132275,-22.184784,-15.456360,-34.416351,-21.261337,-21.396851,-54.026646,-16.436531,-29.690430,-61.199036,0.000000,-3.554512,-5.995209,50.194798,-20.715225,0.359528,41.720264,-47.865910,8.562836,24.123302,-60.256321,8.907196,8.398834,-7.982903,10.885284,15.045055,-27.375595,18.251984,-27.706524,-36.112816,18.689728,-50.437378,-42.384888,9.394989,-57.390446,4.945755,7.370209,8.401249,-8.621574,11.936981,-37.446785,-15.699730,11.327667,-65.179779,-22.980003,2.087463,-74.974121,16.899025,-0.061737,5.625484,9.619507,1.196869,-37.656029,4.596214,-1.056244,-64.354065,-2.785881,-9.838776,-74.665771,26.801941,-10.999786,5.598446,26.032310,-11.566132,-32.783421,24.904182,-14.189240,-53.207291,18.506905,-21.034088,-60.813747,0.000000
-9.924698,7.601288,48.877663,9.457588,8.674896,43.952713,41.233543,8.257477,34.070740,59.132645,4.359467,25.463369,6.526764,12.938812,13.606955,33.924141,9.723541,-23.219900,45.337593,11.156403,-45.593788,52.791977,4.332916,-54.365715,-5.392303,10.542389,4.555437,16.482464,3.603668,-36.150738,26.069763,1.233246,-63.232063,33.164463,-7.131531,-74.038559,-17.600060,4.231445,0.781141,-3.227264,-4.825836,-38.420780,3.044884,-9.306915,-64.533691,9.328766,-17.901672,-75.550774,-28.629112,-5.491425,1.154253,-22.183678,-15.446381,-34.418018,-21.277199,-21.351685,-54.030228,-16.447388,-29.641388,-61.199242,0.000000,-3.494270,-5.929810,50.199726,-20.652126,0.413605,41.714977,-47.816673,8.631378,24.135841,-60.282799,9.049835,8.452702,-7.975990,10.890167,15.042656,-27.376610,18.252777,-27.684843,-36.077679,18.844971,-50.476017,-42.362541,9.674591,-57.570656,4.954323,7.390656,8.386768,-8.666046,11.864258,-37.455860,-15.772423,11.170349,-65.173477,-23.057915,1.901947,-74.973473,16.906998,-0.039734,5.605877,9.606110,1.142700,-37.673168,4.594238,-1.172516,-64.367500,-2.777298,-9.969421,-74.711205,26.810715,-10.976471,5.586445,26.033340,-11.588196,-32.787811,24.930466,-14.226379,-53.207596,18.543518,-21.069794,-60.828789,0.000000
-9.935852,7.489166,48.904007,9.459099,8.501129,44.017639,41.242477,7.968079,34.177498,59.088783,3.952087,25.543989,6.543076,12.897888,13.631552,33.934982,9.760986,-23.203773,45.347229,11.234436,-45.573944,52.779778,4.386353,-54.344727,-5.375885,10.535583,4.576227,16.474289,3.707153,-36.156910,26.042923,1.409546,-63.253296,33.124649,-6.963745,-74.071609,-17.592125,4.249329,0.786489,-3.244987,-4.700073,-38.448299,3.009865,-9.116791,-64.579956,9.285080,-17.727936,-75.591972,-28.636086,-5.457092,1.138288,-22.213692,-15.327850,-34.461254,-21.325958,-21.204681,-54.079018,-16.509850,-29.517670,-61.226547,0.000000,-3.607208,-6.134857,50.183441,-20.772003,0.106110,41.631447,-47.963089,8.193146,23.996826,-60.520294,8.621582,8.342773,-7.997482,10.836487,15.073265,-27.438160,18.251648,-27.670567,-36.238602,18.667694,-50.386696,-42.490639,9.353790,-57.315742,4.922966,7.342072,8.428249,-8.735085,11.909851,-37.428970,-16.016609,11.091797,-65.055862,-23.395203,1.701996,-74.680550,16.886513,-0.066650,5.627068,9.548607,1.162109,-37.680817,4.350418,-1.344910,-64.288193,-3.137260,-10.300690,-74.426064,26.823235,-10.971039,5.569733,25.984467,-11.546356,-32.838566,24.691483,-14.336212,-53.211647,18.209724,-21.295105,-60.667564,0.000000
-9.896034,7.547119,48.888634,9.503967,8.563385,44.008728,41.293114,7.984802,34.175644,59.074173,3.802673,25.516762,6.554626,12.913177,13.621246,33.904579,9.740051,-23.241474,45.279549,11.100189,-45.614555,52.649582,4.077454,-54.246159,-5.373215,10.539124,4.566673,16.454529,3.643524,-36.184227,26.022198,1.195038,-63.260841,33.090340,-7.339844,-73.940155,-17.590401,4.244904,0.789108,-3.292427,-4.741302,-38.459072,2.912651,-9.228149,-64.596413,9.162224,-17.933136,-75.545372,-28.637611,-5.457977,1.152752,-22.281837,-15.352570,-34.448425,-21.458923,-21.256500,-54.068653,-16.654198,-29.610168,-61.188301,0.000000,-3.695602,-6.108765,50.207001,-20.899857,-0.115326,41.551033,-48.271263,7.508759,23.922165,-61.183987,7.581848,8.493637,-7.761650,10.987671,15.058212,-27.232620,18.847290,-27.663427,-36.292427,19.067505,-50.071392,-42.718899,9.413574,-56.375893,5.031357,7.219788,8.418621,-8.586853,12.228577,-37.445061,-16.030495,11.594788,-65.010788,-23.693859,2.191132,-74.372574,16.851189,-0.416260,5.586395,9.396820,0.851929,-37.782951,3.895050,-1.985046,-64.287872,-3.868668,-11.212341,-73.968361,26.652069,-11.437134,5.485634,25.655891,-12.314575,-33.001053,24.114967,-15.729980,-53.308090,17.480537,-23.009155,-60.392521,0.000000
