Hand 0 Finger 0 Metacarpal Bone X,Hand 0 Finger 0 Metacarpal Bone Y,Hand 0 Finger 0 Metacarpal Bone Z,Hand 0 Finger 0 Proximal Bone X,Hand 0 Finger 0 Proximal Bone Y,Hand 0 Finger 0 Proximal Bone Z,Hand 0 Finger 0 Intermediate Bone X,Hand 0 Finger 0 Intermediate Bone Y,Hand 0 Finger 0 Intermediate Bone Z,Hand 0 Finger 0 Distal Bone X,Hand 0 Finger 0 Distal Bone Y,Hand 0 Finger 0 Distal Bone Z,Hand 0 Finger 1 Metacarpal Bone X,Hand 0 Finger 1 Metacarpal Bone Y,Hand 0 Finger 1 Metacarpal Bone Z,Hand 0 Finger 1 Proximal Bone X,Hand 0 Finger 1 Proximal Bone Y,Hand 0 Finger 1 Proximal Bone Z,Hand 0 Finger 1 Intermediate Bone X,Hand 0 Finger 1 Intermediate Bone Y,Hand 0 Finger 1 Intermediate Bone Z,Hand 0 Finger 1 Distal Bone X,Hand 0 Finger 1 Distal Bone Y,Hand 0 Finger 1 Distal Bone Z,Hand 0 Finger 2 Metacarpal Bone X,Hand 0 Finger 2 Metacarpal Bone Y,Hand 0 Finger 2 Metacarpal Bone Z,Hand 0 Finger 2 Proximal Bone X,Hand 0 Finger 2 Proximal Bone Y,Hand 0 Finger 2 Proximal Bone Z,Hand 0 Finger 2 Intermediate Bone X,Hand 0 Finger 2 Intermediate Bone Y,Hand 0 Finger 2 Intermediate Bone Z,Hand 0 Finger 2 Distal Bone X,Hand 0 Finger 2 Distal Bone Y,Hand 0 Finger 2 Distal Bone Z,Hand 0 Finger 3 Metacarpal Bone X,Hand 0 Finger 3 Metacarpal Bone Y,Hand 0 Finger 3 Metacarpal Bone Z,Hand 0 Finger 3 Proximal Bone X,Hand 0 Finger 3 Proximal Bone Y,Hand 0 Finger 3 Proximal Bone Z,Hand 0 Finger 3 Intermediate Bone X,Hand 0 Finger 3 Intermediate Bone Y,Hand 0 Finger 3 Intermediate Bone Z,Hand 0 Finger 3 Distal Bone X,Hand 0 Finger 3 Distal Bone Y,Hand 0 Finger 3 Distal Bone Z,Hand 0 Finger 4 Metacarpal Bone X,Hand 0 Finger 4 Metacarpal Bone Y,Hand 0 Finger 4 Metacarpal Bone Z,Hand 0 Finger 4 Proximal Bone X,Hand 0 Finger 4 Proximal Bone Y,Hand 0 Finger 4 Proximal Bone Z,Hand 0 Finger 4 Intermediate Bone X,Hand 0 Finger 4 Intermediate Bone Y,Hand 0 Finger 4 Intermediate Bone Z,Hand 0 Finger 4 Distal Bone X,Hand 0 Finger 4 Distal Bone Y,Hand 0 Finger 4 Distal Bone Z,Hand 1 Finger 0 Metacarpal Bone X,Hand 1 Finger 0 Metacarpal Bone Y,Hand 1 Finger 0 Metacarpal Bone Z,Hand 1 Finger 0 Proximal Bone X,Hand 1 Finger 0 Proximal Bone Y,Hand 1 Finger 0 Proximal Bone Z,Hand 1 Finger 0 Intermediate Bone X,Hand 1 Finger 0 Intermediate Bone Y,Hand 1 Finger 0 Intermediate Bone Z,Hand 1 Finger 0 Distal Bone X,Hand 1 Finger 0 Distal Bone Y,Hand 1 Finger 0 Distal Bone Z,Hand 1 Finger 1 Metacarpal Bone X,Hand 1 Finger 1 Metacarpal Bone Y,Hand 1 Finger 1 Metacarpal Bone Z,Hand 1 Finger 1 Proximal Bone X,Hand 1 Finger 1 Proximal Bone Y,Hand 1 Finger 1 Proximal Bone Z,Hand 1 Finger 1 Intermediate Bone X,Hand 1 Finger 1 Intermediate Bone Y,Hand 1 Finger 1 Intermediate Bone Z,Hand 1 Finger 1 Distal Bone X,Hand 1 Finger 1 Distal Bone Y,Hand 1 Finger 1 Distal Bone Z,Hand 1 Finger 2 Metacarpal Bone X,Hand 1 Finger 2 Metacarpal Bone Y,Hand 1 Finger 2 Metacarpal Bone Z,Hand 1 Finger 2 Proximal Bone X,Hand 1 Finger 2 Proximal Bone Y,Hand 1 Finger 2 Proximal Bone Z,Hand 1 Finger 2 Intermediate Bone X,Hand 1 Finger 2 Intermediate Bone Y,Hand 1 Finger 2 Intermediate Bone Z,Hand 1 Finger 2 Distal Bone X,Hand 1 Finger 2 Distal Bone Y,Hand 1 Finger 2 Distal Bone Z,Hand 1 Finger 3 Metacarpal Bone X,Hand 1 Finger 3 Metacarpal Bone Y,Hand 1 Finger 3 Metacarpal Bone Z,Hand 1 Finger 3 Proximal Bone X,Hand 1 Finger 3 Proximal Bone Y,Hand 1 Finger 3 Proximal Bone Z,Hand 1 Finger 3 Intermediate Bone X,Hand 1 Finger 3 Intermediate Bone Y,Hand 1 Finger 3 Intermediate Bone Z,Hand 1 Finger 3 Distal Bone X,Hand 1 Finger 3 Distal Bone Y,Hand 1 Finger 3 Distal Bone Z,Hand 1 Finger 4 Metacarpal Bone X,Hand 1 Finger 4 Metacarpal Bone Y,Hand 1 Finger 4 Metacarpal Bone Z,Hand 1 Finger 4 Proximal Bone X,Hand 1 Finger 4 Proximal Bone Y,Hand 1 Finger 4 Proximal Bone Z,Hand 1 Finger 4 Intermediate Bone X,Hand 1 Finger 4 Intermediate Bone Y,Hand 1 Finger 4 Intermediate Bone Z,Hand 1 Finger 4 Distal Bone X,Hand 1 Finger 4 Distal Bone Y,Hand 1 Finger 4 Distal Bone Z,Hand sign
37.415783,3.832428,36.322075,16.688953,7.996063,37.121284,-18.447750,11.501160,37.440582,-39.894318,8.078659,36.014549,9.508331,16.070557,9.060066,-38.244732,25.431793,-4.187862,-64.542892,31.276855,-13.670126,-78.939095,34.839447,-19.347942,10.919445,5.451080,-1.492512,-32.759632,0.197113,1.045189,-39.522919,-11.322708,21.085670,-25.556158,-15.648621,29.864159,14.334850,-7.539734,-7.946312,-23.887897,-15.961960,-7.032280,-29.297829,-25.439102,13.310459,-15.693996,-27.461121,22.998528,18.457111,-22.092758,-10.045277,-14.911659,-29.512848,-14.022079,-22.179268,-34.297684,1.645683,-12.531757,-34.646210,10.376625,-26.144173,-6.357529,45.131443,-16.755066,11.880127,40.002964,3.254333,37.983002,29.092926,20.517502,46.797607,19.701107,-14.751724,11.184418,9.696149,17.789139,35.934219,-19.025127,35.945843,46.596771,-37.696369,45.609730,52.628326,-48.368568,-12.090603,-1.155762,1.069174,21.026642,20.616882,-30.813007,41.164276,33.699692,-52.564636,53.339417,40.867096,-63.941124,-9.360897,-15.351379,-2.506946,21.125204,-0.203445,-33.716969,39.811016,10.979340,-55.059334,51.513248,17.740448,-66.516441,-5.267258,-30.194275,-1.422485,19.932905,-21.018234,-31.156384,32.689594,-13.432922,-48.700722,41.033882,-8.295135,-58.300377,0.000000
37.398151,3.892960,36.332436,16.667049,8.007324,37.127388,-18.459614,11.391113,37.384850,-39.840515,7.810028,35.828529,9.549793,16.064972,9.096386,-38.107525,25.356995,-4.189270,-64.229706,31.135345,-13.673847,-78.496582,34.644165,-19.328400,10.910328,5.461975,-1.503624,-32.821091,0.202698,0.941597,-39.670872,-11.305420,20.929535,-25.737427,-15.656174,29.742111,14.342533,-7.535583,-7.935898,-23.884367,-15.971466,-7.062149,-29.297781,-25.411865,13.253143,-15.688152,-27.414978,22.952789,18.492207,-22.077896,-10.050846,-14.879887,-29.517258,-14.064339,-22.163582,-34.273422,1.582520,-12.524757,-34.596313,10.336449,-26.231785,-6.604462,45.013451,-17.087513,11.765808,39.921936,2.590466,38.148163,29.098383,19.771297,47.190125,19.789988,-14.855244,11.060440,9.680283,17.619202,36.120972,-18.837646,35.757488,47.006470,-37.345886,45.409145,53.150513,-47.915291,-12.086086,-1.225311,1.031303,21.033184,20.725922,-30.724739,41.229454,33.827896,-52.407608,53.452641,41.001282,-63.719185,-9.261745,-15.396057,-2.570807,21.273918,-0.053589,-33.645012,40.053982,11.196136,-54.864952,51.836559,17.996124,-66.208260,-5.085316,-30.222107,-1.491357,20.183899,-20.910156,-31.120129,33.016933,-13.323196,-48.572456,41.431255,-8.161102,-58.068642,0.000000
37.470940,3.272049,36.601292,16.939796,8.195602,37.723515,-17.997341,12.977631,38.388027,-39.439724,10.172272,36.808399,9.788292,15.854126,9.224705,-37.699272,25.748566,-3.962292,-63.714504,31.694794,-13.105038,-77.901367,35.268311,-18.521431,10.975464,5.308243,-1.475452,-32.759315,0.767242,0.908222,-39.835930,-10.689575,20.976376,-26.081638,-15.448669,29.963848,14.241379,-7.713623,-7.943413,-24.183458,-15.539124,-7.317036,-30.021002,-25.026733,12.955746,-16.636147,-27.454010,22.917454,18.207954,-22.292633,-10.151321,-15.317837,-29.199005,-14.405180,-22.928215,-33.943268,1.181492,-13.505672,-34.554749,10.172703,-26.291393,-6.392029,44.981365,-17.321018,12.009293,39.637825,2.181377,38.395096,28.465542,19.375340,47.484543,19.078793,-14.938568,10.982620,9.562654,17.435352,36.192673,-19.021753,35.520996,47.250137,-37.565479,45.141285,53.468948,-48.164555,-12.053886,-1.278091,1.017561,21.188889,20.672989,-30.724602,41.655087,33.752701,-52.323563,54.029640,40.941605,-63.571968,-9.115551,-15.450394,-2.504144,21.592178,-0.067886,-33.505760,40.689594,11.264954,-54.560642,52.680637,18.170700,-65.738815,-4.900089,-30.212082,-1.372877,20.563725,-20.879547,-30.921345,33.669373,-13.215607,-48.267357,42.252899,-7.945236,-57.650944,0.000000
37.612759,2.770645,36.599220,17.168461,7.985611,37.854538,-17.673168,13.375717,38.718071,-39.146732,11.025314,37.181068,9.869381,15.716110,9.349316,-37.545586,25.957352,-3.792919,-63.463795,32.112808,-13.038670,-77.886475,35.368668,-18.021372,10.996601,5.263901,-1.453770,-32.592957,0.900894,1.110222,-39.401699,-10.685593,21.147003,-25.516577,-15.563034,29.945801,14.185726,-7.719742,-8.034946,-24.257935,-15.344772,-7.413738,-30.096134,-24.992264,12.791439,-16.709270,-27.607819,22.716660,18.082890,-22.293076,-10.397583,-15.475891,-28.982300,-14.665283,-23.084942,-33.834671,0.892921,-13.654934,-34.596878,9.865341,-26.329742,-6.346710,44.930859,-17.469391,12.091522,39.507069,1.910458,38.497742,28.186630,19.089691,47.559296,18.710939,-14.941650,10.975983,9.560099,17.482254,36.125854,-19.021894,35.601093,47.092377,-37.616295,45.239094,53.259308,-48.246960,-12.047112,-1.268127,1.010302,21.324930,20.679535,-30.641676,41.973137,33.743744,-52.129604,54.462654,40.904297,-63.307400,-9.106564,-15.437958,-2.524503,21.715082,-0.037689,-33.450119,40.984585,11.335449,-54.391205,53.103760,18.271973,-65.460663,-4.919563,-30.195129,-1.409675,20.634441,-20.839584,-30.900980,33.855644,-13.124832,-48.177120,42.526196,-7.805054,-57.483463,0.000000
37.709446,2.503342,36.551922,17.298687,7.829498,37.870472,-17.507015,13.503387,38.896198,-39.024872,11.431915,37.528889,9.970135,15.638611,9.368767,-37.406212,26.109772,-3.692966,-63.286663,32.360718,-12.938259,-77.709229,35.620544,-17.877476,11.014858,5.213745,-1.469875,-32.489807,1.012253,1.280350,-39.182842,-10.636627,21.383778,-25.269985,-15.615723,30.119190,14.130009,-7.764908,-8.095032,-24.337666,-15.199951,-7.384655,-30.219059,-24.886658,12.873833,-16.876911,-27.624969,22.820911,17.945011,-22.354279,-10.482410,-15.648376,-28.863220,-14.683802,-23.281559,-33.726379,0.912380,-13.878849,-34.578842,9.894520,-26.313461,-6.316422,44.917107,-17.410778,12.087555,39.459656,2.064922,38.356110,28.072668,19.311228,47.190186,18.558134,-15.029617,10.953094,9.528292,17.280369,36.172867,-19.067711,35.359768,47.192200,-37.562424,44.977467,53.390594,-48.122658,-12.060173,-1.345276,1.013623,21.160759,20.737411,-30.636305,41.742065,33.954620,-51.965256,54.287979,41.187714,-62.936783,-9.040440,-15.511597,-2.455236,21.654118,-0.025131,-33.400879,40.833755,11.474487,-54.247444,52.965202,18.522186,-65.154213,-4.747795,-30.255859,-1.258444,20.728420,-20.824158,-30.747160,33.893074,-12.958496,-47.927299,42.576046,-7.470932,-57.072945,0.000000
37.734253,2.626434,36.461311,17.299927,7.891357,37.768356,-17.541534,13.459686,38.853561,-39.098671,11.358459,37.664520,10.035263,15.667831,9.277851,-37.372356,26.092285,-3.680561,-63.308575,32.236603,-12.783951,-77.442848,35.918610,-18.162628,11.017715,5.189163,-1.514000,-32.574123,1.061676,1.277298,-39.457066,-10.552094,21.462761,-25.674149,-15.614517,30.345970,14.102646,-7.820282,-8.092941,-24.429897,-15.192902,-7.303196,-30.411039,-24.798035,13.025417,-17.134796,-27.550568,23.050133,17.882164,-22.432098,-10.395088,-15.761246,-28.909164,-14.522303,-23.447197,-33.703369,1.105469,-14.086746,-34.562439,10.129639,-26.516907,-5.474533,44.951202,-17.139244,12.662750,39.403149,2.925644,38.526459,27.954140,20.301979,47.171967,18.487442,-14.982784,11.224487,9.311543,17.691227,35.787491,-19.442860,36.032120,46.424637,-37.883545,45.798958,52.418243,-48.419468,-12.081772,-1.240433,0.987247,21.351833,20.219604,-30.831440,42.030727,33.144379,-52.182926,54.663029,40.250870,-63.096355,-9.175266,-15.485687,-2.247720,21.671928,-0.658539,-33.292717,40.915401,10.473694,-54.162159,53.098545,17.364471,-65.026146,-4.968018,-30.257690,-0.812897,20.634146,-21.408142,-30.331779,33.860580,-13.787689,-47.515942,42.587833,-8.389648,-56.633831,0.000000
37.671726,2.551697,36.486893,17.188641,7.640259,37.691139,-17.698994,12.916916,38.610649,-39.244991,10.687653,37.346809,9.971226,15.668167,9.323807,-37.380005,26.214737,-3.820663,-63.231873,32.592667,-13.190907,-77.318787,36.305191,-18.788769,11.022648,5.212448,-1.473747,-32.716370,1.082565,1.088623,-39.780396,-10.530960,21.086143,-26.029783,-15.598557,29.998154,14.127705,-7.779007,-8.080112,-24.419682,-15.212967,-7.404060,-30.393457,-24.873825,12.812141,-17.079178,-27.612442,22.794373,17.936771,-22.375351,-10.438389,-15.700771,-28.902420,-14.647842,-23.356510,-33.752518,0.907677,-13.945824,-34.600143,9.888428,-26.427998,-5.305191,45.186062,-16.626690,12.640686,39.755516,3.968369,38.187012,28.459370,21.442083,46.653534,18.999916,-14.860394,11.329865,9.317641,17.828651,35.494141,-19.773693,36.156635,45.744644,-38.577202,46.009041,51.372467,-49.347271,-12.046597,-1.166199,0.996140,21.407074,20.179810,-30.999611,41.989914,33.181030,-52.612240,54.420074,40.371918,-63.874340,-9.226421,-15.436981,-2.214625,21.538286,-0.705505,-33.477329,40.571430,10.446655,-54.736408,52.469383,17.295929,-66.105370,-5.135849,-30.206604,-0.790180,20.400511,-21.413269,-30.444279,33.520493,-13.756897,-47.854221,42.045673,-8.455933,-57.342445,0.000000
37.769009,3.207397,36.221943,17.189335,7.921906,37.276104,-17.792103,12.468903,37.995747,-39.296444,9.757278,36.734882,9.849171,15.865982,9.110683,-37.573009,26.003632,-4.143112,-63.400406,32.289337,-13.828175,-77.475250,36.047455,-19.552689,10.974312,5.299164,-1.559715,-32.706886,0.723434,1.213596,-39.399078,-10.726685,21.209843,-25.369678,-15.359528,29.844158,14.167377,-7.730133,-8.049961,-24.210135,-15.548584,-7.039387,-29.710094,-25.011246,13.236828,-16.102806,-27.362671,22.892910,18.102367,-22.312347,-10.291283,-15.418015,-29.218323,-14.190193,-22.706467,-33.945953,1.441021,-13.030483,-34.495239,10.163147,-26.433689,-5.337463,45.350571,-16.490105,12.593765,40.158295,4.180447,38.239166,29.148766,21.537472,46.839172,19.663963,-14.616650,11.423645,9.352288,17.801517,35.269684,-20.304697,35.787567,45.152924,-39.819271,46.374283,50.489471,-50.174141,-12.031837,-1.003296,1.007255,21.560684,20.213715,-31.029591,42.157452,33.244904,-52.790482,54.535728,40.452118,-64.238815,-9.385632,-15.286682,-2.304194,21.403625,-0.739716,-33.729084,40.367050,10.298492,-55.316765,52.144539,17.049988,-67.029327,-5.520031,-30.073364,-1.016006,20.027485,-21.474945,-30.809101,33.149422,-14.004517,-48.463295,41.613800,-8.880493,-58.226852,0.000000
37.932186,3.654999,35.979786,17.331699,8.281998,37.032413,-17.671280,12.616486,37.813000,-39.174618,9.739548,36.709530,9.877468,15.981705,8.884998,-37.618614,25.923843,-4.232372,-63.485195,32.109756,-13.864470,-77.583710,35.809677,-19.563992,10.953335,5.300201,-1.674427,-32.634407,0.598587,1.436607,-39.072540,-10.672653,21.614742,-24.922634,-15.074081,30.130276,14.139553,-7.790344,-8.043823,-24.150341,-15.663727,-6.659981,-29.369247,-24.866013,13.764088,-15.604404,-27.002304,23.219921,18.083721,-22.392593,-10.132774,-15.393982,-29.378494,-13.697533,-22.466167,-33.897842,2.059612,-12.647846,-34.287567,10.623043,-26.308128,-5.437393,45.405991,-16.341431,12.494003,40.250111,4.374313,38.131256,29.298664,21.759354,46.746536,19.847454,-14.549236,11.418427,9.424748,17.761574,35.260574,-20.346497,35.751167,45.109024,-39.898434,46.433784,50.451523,-50.176441,-12.029774,-0.970016,1.045255,21.530815,20.267105,-31.021439,42.103230,33.307816,-52.817154,54.462746,40.516800,-64.297424,-9.430649,-15.247971,-2.329638,21.317196,-0.671860,-33.791271,40.247574,10.376358,-55.418541,51.988033,17.119827,-67.183617,-5.604362,-30.043015,-1.119571,19.880020,-21.395691,-30.963818,32.959579,-13.903091,-48.663731,41.381012,-8.798004,-58.492390,0.000000
37.971783,3.893158,35.867741,17.321209,8.342163,36.885494,-17.739407,12.272522,37.610470,-39.224522,9.066727,36.500652,9.900219,16.038879,8.782890,-37.733589,25.706635,-4.062054,-63.768677,31.600250,-13.362286,-77.970436,35.141327,-18.883980,10.935482,5.307251,-1.731644,-32.595028,0.496918,1.574226,-38.982452,-10.765381,21.927273,-24.866875,-15.130371,30.491238,14.133152,-7.802734,-8.054100,-24.069639,-15.738617,-6.433922,-29.109959,-24.823883,14.116661,-15.271870,-26.838699,23.477810,18.080357,-22.418976,-10.038433,-15.355831,-29.449493,-13.404417,-22.314976,-33.877319,2.450241,-12.436970,-34.216095,10.931667,-26.242672,-5.459518,45.412437,-16.269535,12.464249,40.239582,4.468586,38.085129,29.286381,21.879181,46.718552,19.873196,-14.540478,11.417130,9.456731,17.755344,35.266617,-20.313816,35.798161,45.091995,-39.798855,46.539627,50.399185,-50.012970,-12.033672,-0.967300,1.062069,21.482986,20.257309,-31.042099,42.023811,33.263809,-52.862835,54.376022,40.449997,-64.344955,-9.446560,-15.245087,-2.322793,21.269169,-0.681641,-33.802185,40.172428,10.332458,-55.432465,51.897621,17.056320,-67.193398,-5.612995,-30.047089,-1.124577,19.832500,-21.404282,-30.991928,32.881790,-13.935471,-48.701588,41.283581,-8.853256,-58.542503,0.000000
