Hand 0 Finger 0 Metacarpal Bone X,Hand 0 Finger 0 Metacarpal Bone Y,Hand 0 Finger 0 Metacarpal Bone Z,Hand 0 Finger 0 Proximal Bone X,Hand 0 Finger 0 Proximal Bone Y,Hand 0 Finger 0 Proximal Bone Z,Hand 0 Finger 0 Intermediate Bone X,Hand 0 Finger 0 Intermediate Bone Y,Hand 0 Finger 0 Intermediate Bone Z,Hand 0 Finger 0 Distal Bone X,Hand 0 Finger 0 Distal Bone Y,Hand 0 Finger 0 Distal Bone Z,Hand 0 Finger 1 Metacarpal Bone X,Hand 0 Finger 1 Metacarpal Bone Y,Hand 0 Finger 1 Metacarpal Bone Z,Hand 0 Finger 1 Proximal Bone X,Hand 0 Finger 1 Proximal Bone Y,Hand 0 Finger 1 Proximal Bone Z,Hand 0 Finger 1 Intermediate Bone X,Hand 0 Finger 1 Intermediate Bone Y,Hand 0 Finger 1 Intermediate Bone Z,Hand 0 Finger 1 Distal Bone X,Hand 0 Finger 1 Distal Bone Y,Hand 0 Finger 1 Distal Bone Z,Hand 0 Finger 2 Metacarpal Bone X,Hand 0 Finger 2 Metacarpal Bone Y,Hand 0 Finger 2 Metacarpal Bone Z,Hand 0 Finger 2 Proximal Bone X,Hand 0 Finger 2 Proximal Bone Y,Hand 0 Finger 2 Proximal Bone Z,Hand 0 Finger 2 Intermediate Bone X,Hand 0 Finger 2 Intermediate Bone Y,Hand 0 Finger 2 Intermediate Bone Z,Hand 0 Finger 2 Distal Bone X,Hand 0 Finger 2 Distal Bone Y,Hand 0 Finger 2 Distal Bone Z,Hand 0 Finger 3 Metacarpal Bone X,Hand 0 Finger 3 Metacarpal Bone Y,Hand 0 Finger 3 Metacarpal Bone Z,Hand 0 Finger 3 Proximal Bone X,Hand 0 Finger 3 Proximal Bone Y,Hand 0 Finger 3 Proximal Bone Z,Hand 0 Finger 3 Intermediate Bone X,Hand 0 Finger 3 Intermediate Bone Y,Hand 0 Finger 3 Intermediate Bone Z,Hand 0 Finger 3 Distal Bone X,Hand 0 Finger 3 Distal Bone Y,Hand 0 Finger 3 Distal Bone Z,Hand 0 Finger 4 Metacarpal Bone X,Hand 0 Finger 4 Metacarpal Bone Y,Hand 0 Finger 4 Metacarpal Bone Z,Hand 0 Finger 4 Proximal Bone X,Hand 0 Finger 4 Proximal Bone Y,Hand 0 Finger 4 Proximal Bone Z,Hand 0 Finger 4 Intermediate Bone X,Hand 0 Finger 4 Intermediate Bone Y,Hand 0 Finger 4 Intermediate Bone Z,Hand 0 Finger 4 Distal Bone X,Hand 0 Finger 4 Distal Bone Y,Hand 0 Finger 4 Distal Bone Z,Hand 1 Finger 0 Metacarpal Bone X,Hand 1 Finger 0 Metacarpal Bone Y,Hand 1 Finger 0 Metacarpal Bone Z,Hand 1 Finger 0 Proximal Bone X,Hand 1 Finger 0 Proximal Bone Y,Hand 1 Finger 0 Proximal Bone Z,Hand 1 Finger 0 Intermediate Bone X,Hand 1 Finger 0 Intermediate Bone Y,Hand 1 Finger 0 Intermediate Bone Z,Hand 1 Finger 0 Distal Bone X,Hand 1 Finger 0 Distal Bone Y,Hand 1 Finger 0 Distal Bone Z,Hand 1 Finger 1 Metacarpal Bone X,Hand 1 Finger 1 Metacarpal Bone Y,Hand 1 Finger 1 Metacarpal Bone Z,Hand 1 Finger 1 Proximal Bone X,Hand 1 Finger 1 Proximal Bone Y,Hand 1 Finger 1 Proximal Bone Z,Hand 1 Finger 1 Intermediate Bone X,Hand 1 Finger 1 Intermediate Bone Y,Hand 1 Finger 1 Intermediate Bone Z,Hand 1 Finger 1 Distal Bone X,Hand 1 Finger 1 Distal Bone Y,Hand 1 Finger 1 Distal Bone Z,Hand 1 Finger 2 Metacarpal Bone X,Hand 1 Finger 2 Metacarpal Bone Y,Hand 1 Finger 2 Metacarpal Bone Z,Hand 1 Finger 2 Proximal Bone X,Hand 1 Finger 2 Proximal Bone Y,Hand 1 Finger 2 Proximal Bone Z,Hand 1 Finger 2 Intermediate Bone X,Hand 1 Finger 2 Intermediate Bone Y,Hand 1 Finger 2 Intermediate Bone Z,Hand 1 Finger 2 Distal Bone X,Hand 1 Finger 2 Distal Bone Y,Hand 1 Finger 2 Distal Bone Z,Hand 1 Finger 3 Metacarpal Bone X,Hand 1 Finger 3 Metacarpal Bone Y,Hand 1 Finger 3 Metacarpal Bone Z,Hand 1 Finger 3 Proximal Bone X,Hand 1 Finger 3 Proximal Bone Y,Hand 1 Finger 3 Proximal Bone Z,Hand 1 Finger 3 Intermediate Bone X,Hand 1 Finger 3 Intermediate Bone Y,Hand 1 Finger 3 Intermediate Bone Z,Hand 1 Finger 3 Distal Bone X,Hand 1 Finger 3 Distal Bone Y,Hand 1 Finger 3 Distal Bone Z,Hand 1 Finger 4 Metacarpal Bone X,Hand 1 Finger 4 Metacarpal Bone Y,Hand 1 Finger 4 Metacarpal Bone Z,Hand 1 Finger 4 Proximal Bone X,Hand 1 Finger 4 Proximal Bone Y,Hand 1 Finger 4 Proximal Bone Z,Hand 1 Finger 4 Intermediate Bone X,Hand 1 Finger 4 Intermediate Bone Y,Hand 1 Finger 4 Intermediate Bone Z,Hand 1 Finger 4 Distal Bone X,Hand 1 Finger 4 Distal Bone Y,Hand 1 Finger 4 Distal Bone Z,Hand sign
-7.034744,-7.569183,46.968582,9.849419,-7.784821,38.348755,36.858986,-9.884064,21.951248,51.454376,-13.529572,9.356705,6.329292,8.376434,16.580517,34.051041,12.507935,-19.159943,46.739304,15.484375,-39.500057,54.231323,12.286224,-49.937798,-4.940948,7.542297,7.842773,18.263527,8.949738,-31.667679,30.527153,7.408203,-55.672188,37.676643,0.139496,-66.549942,-16.777382,2.870422,2.317921,-0.302078,2.094757,-36.240917,9.844368,-1.253632,-59.680313,16.980743,-8.706787,-70.458046,-28.008377,-5.417755,-0.444267,-18.585823,-6.808289,-35.921040,-12.928703,-10.466125,-54.205856,-7.072861,-17.022644,-61.881577,-3.375214,-19.925293,43.897820,-18.136173,-17.968231,31.988289,-42.372360,-15.143341,11.114853,-56.575188,-14.009338,-2.887741,-8.955452,4.786469,16.798954,-31.888771,15.533600,-21.726795,-44.039917,15.531403,-42.485653,-50.110931,8.946930,-52.509407,3.369057,4.631012,10.084099,-13.554070,16.581818,-31.483356,-24.062943,20.717896,-56.970055,-30.899429,17.284790,-70.432510,15.936211,0.542114,5.830097,6.490364,10.696320,-34.059502,-0.076546,14.627655,-59.320972,-5.516228,11.978363,-73.381645,27.329781,-7.502289,3.014496,25.192772,0.669281,-32.970131,24.192825,2.663361,-53.084869,21.513008,0.022675,-64.552536,0.000000
-7.135193,-7.499084,47.001572,9.760170,-7.785339,38.418938,36.758743,-9.997742,22.049828,51.280582,-13.719513,9.416359,6.351616,8.338715,16.573265,34.064194,12.497772,-19.100397,46.727390,15.734253,-39.404602,54.241486,12.697662,-49.859703,-4.914070,7.589844,7.810181,18.284859,8.935333,-31.686680,30.512798,7.422943,-55.713005,37.640312,0.121368,-66.587219,-16.765373,2.966766,2.289890,-0.262108,2.022064,-36.242577,9.900475,-1.574982,-59.597404,17.020836,-9.271362,-70.196854,-28.021248,-5.277130,-0.464279,-18.621056,-6.794678,-35.920513,-13.013557,-10.616425,-54.143566,-7.180450,-17.323944,-61.678539,-3.353920,-19.896027,43.862740,-18.153473,-17.899292,32.004036,-42.453350,-14.955475,11.207840,-56.743061,-13.650543,-2.708847,-8.927834,4.773529,16.812012,-31.785355,15.788757,-21.702803,-43.844868,16.442139,-42.642944,-50.037346,10.456146,-53.015102,3.385330,4.639221,10.069389,-13.505371,16.644501,-31.509859,-23.919678,20.881775,-57.068123,-30.752453,17.514252,-70.581314,15.940208,0.530731,5.798901,6.447929,10.596405,-34.104568,-0.146248,14.300629,-59.383568,-5.625961,11.412384,-73.382721,27.323586,-7.514832,2.946743,25.142059,0.521576,-33.070080,24.107162,2.271454,-53.219017,21.359291,-0.569763,-64.636353,0.000000
-7.089409,-7.581543,47.011463,9.796654,-8.019287,38.420460,36.757458,-10.475433,22.028248,51.216869,-14.335358,9.365200,6.385109,8.291107,16.570248,34.116169,12.417969,-19.101028,46.842564,15.597137,-39.379379,54.373917,12.511200,-49.816704,-4.880852,7.582153,7.824001,18.363503,8.877380,-31.659317,30.703167,7.186554,-55.593933,37.853008,-0.311859,-66.309860,-16.748329,3.003601,2.313152,-0.231941,2.011688,-36.206963,9.989838,-1.744293,-59.482590,17.115837,-9.585297,-69.959419,-28.026611,-5.200104,-0.446678,-18.640221,-6.702362,-35.895935,-13.015968,-10.559906,-54.088665,-7.184563,-17.312683,-61.570656,-3.336960,-19.937775,43.841839,-18.153976,-17.917572,32.016125,-42.502312,-14.960297,11.289261,-56.853302,-13.674713,-2.560780,-8.972523,4.718842,16.796223,-31.806946,15.709015,-21.715546,-43.840065,16.369537,-42.638477,-49.994011,10.402130,-53.037228,3.347694,4.644165,10.073967,-13.522942,16.612396,-31.510857,-23.939804,20.799133,-57.062057,-30.760910,17.394897,-70.571968,15.923248,0.594086,5.820885,6.464180,10.665863,-34.084438,-0.115417,14.384064,-59.371700,-5.577621,11.515411,-73.390274,27.341965,-7.401550,2.992374,25.198029,0.671936,-33.009537,24.181839,2.462708,-53.152740,21.446014,-0.344513,-64.582329,0.000000
-7.043800,-7.673553,47.000546,9.812508,-8.139557,38.356998,36.701485,-10.670258,21.869297,51.075607,-14.616302,9.138577,6.310852,8.338959,16.563828,34.089203,12.596893,-19.080105,46.891129,15.724579,-39.326080,54.464699,12.622528,-49.744164,-4.928955,7.532135,7.817760,18.337280,9.037201,-31.650194,30.726845,7.544891,-55.619545,37.950813,0.218323,-66.430855,-16.760315,2.874298,2.305912,-0.239365,2.065247,-36.213360,9.982498,-1.466522,-59.565952,17.142433,-9.094238,-70.203125,-27.975365,-5.407806,-0.460648,-18.606613,-6.780548,-35.917496,-13.039749,-10.472778,-54.207283,-7.242447,-17.056305,-61.896034,-3.244041,-19.953217,43.826736,-18.052212,-18.018799,31.982552,-42.397663,-15.221985,11.240223,-56.764816,-14.053864,-2.597984,-8.995415,4.663269,16.793510,-31.834778,15.718994,-21.672783,-43.840588,16.648010,-42.595394,-49.981838,10.888123,-53.099770,3.323196,4.660187,10.074516,-13.565285,16.600525,-31.491901,-23.953735,20.875580,-57.043362,-30.727570,17.588501,-70.602142,15.914490,0.671173,5.822456,6.406868,10.673950,-34.083500,-0.206024,14.329376,-59.376747,-5.654503,11.442505,-73.400345,27.368446,-7.269714,3.000721,25.184464,0.762756,-33.001514,24.140602,2.508118,-53.151123,21.411453,-0.306213,-64.584251,0.000000
-7.109962,-7.620575,47.007885,9.743233,-8.078888,38.370655,36.593655,-10.617889,21.857563,50.866848,-14.612518,9.054955,6.288521,8.348389,16.550262,34.035324,12.733307,-19.048424,46.764107,16.157867,-39.307686,54.326843,13.291840,-49.799721,-4.946785,7.549713,7.798565,18.357857,9.047119,-31.627117,30.771225,7.549896,-55.561527,38.005432,0.200714,-66.339142,-16.762169,2.876984,2.274708,-0.224724,2.043518,-36.227283,9.985237,-1.488861,-59.586781,17.143494,-9.108490,-70.232986,-27.959312,-5.427887,-0.494213,-18.597389,-6.756500,-35.948254,-13.097878,-10.316132,-54.311264,-7.350716,-16.796021,-62.139915,-3.126053,-19.900055,43.814415,-17.924702,-17.920502,31.970779,-42.245468,-15.063263,11.216057,-56.601990,-13.865814,-2.629333,-8.985512,4.631805,16.797173,-31.791183,16.001587,-21.584505,-43.738224,17.773529,-42.571400,-49.990150,12.781128,-53.424919,3.324585,4.689789,10.064323,-13.527443,16.737549,-31.470169,-23.761669,21.431183,-57.060791,-30.448196,18.577209,-70.781227,15.914833,0.723724,5.794872,6.415390,10.777710,-34.095802,-0.071999,14.699066,-59.430798,-5.405586,12.121674,-73.583542,27.379730,-7.196838,2.970619,25.199188,0.871368,-33.017578,24.257568,2.778748,-53.183681,21.634781,0.161530,-64.703445,0.000000
-7.143257,-7.734192,46.968147,9.700264,-8.192169,38.322823,36.545891,-10.702484,21.806931,50.852425,-14.630829,9.023075,6.280342,8.293762,16.570248,34.017040,12.826263,-18.982010,46.706985,16.469635,-39.233551,54.251724,13.813629,-49.794662,-4.951851,7.532623,7.819382,18.336487,9.169098,-31.575220,30.705170,7.845123,-55.527660,37.928680,0.643280,-66.403183,-16.759781,2.880859,2.274860,-0.228996,2.160431,-36.210278,9.947243,-1.267151,-59.585354,17.086037,-8.802521,-70.298096,-27.952080,-5.411407,-0.524082,-18.579140,-6.655243,-35.963749,-13.086571,-10.172211,-54.325279,-7.353249,-16.620453,-62.186584,-3.108345,-20.041748,43.661575,-17.917099,-18.022064,31.830894,-42.266678,-15.091644,11.097813,-56.679611,-13.825165,-2.709312,-9.009850,4.525269,16.803177,-31.743309,16.278564,-21.526955,-43.598415,18.792694,-42.630711,-49.910896,14.544006,-53.847374,3.298500,4.666077,10.071712,-13.490040,17.014343,-31.424938,-23.578629,22.230865,-57.086849,-30.170197,19.898193,-71.028870,15.897339,0.739471,5.789856,6.430199,11.012543,-34.072407,0.055061,15.277771,-59.466541,-5.162285,13.048737,-73.773209,27.385353,-7.138885,2.944534,25.199944,1.076447,-33.021210,24.298454,3.130493,-53.221535,21.755669,0.675659,-64.826584,0.000000
-7.081383,-7.888153,46.913933,9.728226,-8.521851,38.200279,36.551178,-11.265137,21.625641,50.924492,-15.238770,8.884148,6.287170,8.240234,16.594398,34.124260,12.730713,-18.928263,46.964302,16.223755,-39.127251,54.550804,13.513275,-49.668083,-4.928299,7.493744,7.853745,18.440819,9.134369,-31.512791,30.950905,7.712952,-55.395771,38.236763,0.471924,-66.224998,-16.740089,2.877197,2.290058,-0.171974,2.196289,-36.190510,10.064201,-1.254761,-59.564415,17.210609,-8.760345,-70.329834,-27.954521,-5.369415,-0.541275,-18.527824,-6.596558,-35.975479,-12.949783,-10.195282,-54.313541,-7.202873,-16.678528,-62.166252,-3.258461,-20.416107,43.515877,-18.074913,-18.322449,31.706047,-42.469059,-15.236481,11.035919,-56.951424,-13.834747,-2.697006,-9.016006,4.426147,16.815189,-31.664589,16.425140,-21.497639,-43.466404,18.795807,-42.641720,-49.721138,14.350952,-53.836761,3.300400,4.565918,10.103306,-13.415947,17.184967,-31.348829,-23.513237,22.250580,-57.010105,-30.129555,19.612579,-70.883057,15.889275,0.629608,5.805481,6.470467,11.119476,-34.014610,0.041794,15.203827,-59.390564,-5.260017,12.645355,-73.597290,27.354279,-7.257660,2.900681,25.212868,1.106537,-33.032707,24.262665,2.975739,-53.236076,21.630745,0.257996,-64.762009,0.000000
-7.095909,-7.870941,46.878307,9.674828,-8.703461,38.099766,36.467567,-11.751465,21.486507,50.889648,-15.867859,8.813091,6.263893,8.250305,16.596600,34.244125,12.573364,-18.875561,47.233147,15.930084,-39.039787,54.855782,13.276611,-49.593140,-4.925102,7.480957,7.859676,18.606018,8.944763,-31.432529,31.299793,7.353577,-55.226711,38.648125,0.136383,-66.044502,-16.726051,2.873291,2.272255,-0.040855,2.055176,-36.165596,10.299271,-1.482361,-59.531673,17.458031,-8.891724,-70.391312,-27.954140,-5.341431,-0.583820,-18.384338,-6.693420,-35.987408,-12.665825,-10.403015,-54.308655,-6.901360,-16.855591,-62.214516,-3.457123,-20.669220,43.413231,-18.281563,-18.415924,31.644173,-42.685650,-15.049164,11.027843,-57.187744,-13.447540,-2.669651,-9.017250,4.375153,16.819595,-31.546783,16.527252,-21.516659,-43.319077,18.653290,-42.679207,-49.568710,13.861237,-53.722328,3.308289,4.481445,10.132008,-13.334213,17.172089,-31.332178,-23.479279,21.745117,-56.995941,-30.144680,18.480072,-70.683060,15.880104,0.513428,5.822609,6.487663,11.001312,-34.013855,-0.087013,14.522919,-59.374889,-5.551170,11.304077,-73.367996,27.311516,-7.403442,2.880390,25.191673,0.939545,-33.059139,24.090996,2.386139,-53.259941,21.247833,-0.809998,-64.605820,0.000000
-6.974953,-8.048859,46.857712,9.797340,-8.891876,38.071503,36.685616,-11.906006,21.540829,51.311134,-15.937134,9.032017,6.243523,8.248230,16.614769,34.335621,12.368469,-18.887150,47.519127,15.113342,-39.009079,55.184250,12.014954,-49.413574,-4.922874,7.410461,7.881462,18.701637,8.789886,-31.408838,31.573578,6.837921,-55.105938,38.984543,-0.593018,-65.764633,-16.716400,2.789520,2.293072,0.033257,1.935120,-36.137375,10.495499,-1.861389,-59.424316,17.684776,-9.444733,-70.162277,-27.937683,-5.417114,-0.587475,-18.316452,-6.785706,-35.987446,-12.491867,-10.679382,-54.254440,-6.692642,-17.258484,-62.048088,-3.556702,-20.722961,43.416500,-18.397030,-18.657166,31.646839,-42.792664,-15.612091,11.002907,-57.235584,-14.225098,-2.754612,-9.035221,4.373840,16.805000,-31.494148,16.541870,-21.539080,-43.272594,18.519287,-42.639656,-49.522255,13.436157,-53.496807,3.299973,4.466675,10.141098,-13.292835,17.141846,-31.319752,-23.479889,21.457458,-56.924023,-30.182289,17.789001,-70.435730,15.870743,0.493408,5.848694,6.511536,10.927002,-33.990814,-0.150963,14.137909,-59.294510,-5.723808,10.509491,-73.106766,27.294067,-7.430420,2.919365,25.196617,0.826050,-33.022270,23.980988,1.986511,-53.177864,20.956406,-1.560059,-64.338806,0.000000
-6.821213,-8.271515,46.749302,9.993950,-8.724304,38.021969,36.995338,-11.091675,21.575085,51.763313,-14.727356,9.107857,6.275085,8.178802,16.634991,34.323883,12.389526,-18.927872,47.530720,15.010590,-39.072708,55.196419,11.788086,-49.462780,-4.897018,7.341248,7.942627,18.612068,8.953796,-31.402683,31.407959,7.183716,-55.178097,38.792320,-0.151276,-65.916565,-16.703491,2.751892,2.364376,-0.016663,2.112183,-36.084148,10.450653,-1.552063,-59.373520,17.657799,-9.086243,-70.108459,-27.927444,-5.435577,-0.537617,-18.343063,-6.605164,-35.944046,-12.498253,-10.374023,-54.224045,-6.691330,-16.898071,-62.032284,-3.673523,-20.844940,43.354427,-18.507111,-18.940399,31.556164,-42.882294,-16.161346,10.862019,-57.270325,-14.952393,-2.961437,-9.084587,4.328247,16.780392,-31.503792,16.426514,-21.603596,-43.300507,18.154480,-42.701077,-49.504406,12.827911,-53.457016,3.264465,4.439087,10.157829,-13.281464,17.182068,-31.291229,-23.494167,21.539124,-56.877712,-30.201576,17.899231,-70.389496,15.847702,0.491333,5.894024,6.561661,11.025452,-33.922878,-0.078308,14.340759,-59.216347,-5.631424,10.803925,-73.055679,27.285446,-7.407349,2.975376,25.238434,0.915527,-32.945789,24.012215,2.106628,-53.096653,20.980850,-1.416870,-64.257019,0.000000
