Hand 0 Finger 0 Metacarpal Bone X,Hand 0 Finger 0 Metacarpal Bone Y,Hand 0 Finger 0 Metacarpal Bone Z,Hand 0 Finger 0 Proximal Bone X,Hand 0 Finger 0 Proximal Bone Y,Hand 0 Finger 0 Proximal Bone Z,Hand 0 Finger 0 Intermediate Bone X,Hand 0 Finger 0 Intermediate Bone Y,Hand 0 Finger 0 Intermediate Bone Z,Hand 0 Finger 0 Distal Bone X,Hand 0 Finger 0 Distal Bone Y,Hand 0 Finger 0 Distal Bone Z,Hand 0 Finger 1 Metacarpal Bone X,Hand 0 Finger 1 Metacarpal Bone Y,Hand 0 Finger 1 Metacarpal Bone Z,Hand 0 Finger 1 Proximal Bone X,Hand 0 Finger 1 Proximal Bone Y,Hand 0 Finger 1 Proximal Bone Z,Hand 0 Finger 1 Intermediate Bone X,Hand 0 Finger 1 Intermediate Bone Y,Hand 0 Finger 1 Intermediate Bone Z,Hand 0 Finger 1 Distal Bone X,Hand 0 Finger 1 Distal Bone Y,Hand 0 Finger 1 Distal Bone Z,Hand 0 Finger 2 Metacarpal Bone X,Hand 0 Finger 2 Metacarpal Bone Y,Hand 0 Finger 2 Metacarpal Bone Z,Hand 0 Finger 2 Proximal Bone X,Hand 0 Finger 2 Proximal Bone Y,Hand 0 Finger 2 Proximal Bone Z,Hand 0 Finger 2 Intermediate Bone X,Hand 0 Finger 2 Intermediate Bone Y,Hand 0 Finger 2 Intermediate Bone Z,Hand 0 Finger 2 Distal Bone X,Hand 0 Finger 2 Distal Bone Y,Hand 0 Finger 2 Distal Bone Z,Hand 0 Finger 3 Metacarpal Bone X,Hand 0 Finger 3 Metacarpal Bone Y,Hand 0 Finger 3 Metacarpal Bone Z,Hand 0 Finger 3 Proximal Bone X,Hand 0 Finger 3 Proximal Bone Y,Hand 0 Finger 3 Proximal Bone Z,Hand 0 Finger 3 Intermediate Bone X,Hand 0 Finger 3 Intermediate Bone Y,Hand 0 Finger 3 Intermediate Bone Z,Hand 0 Finger 3 Distal Bone X,Hand 0 Finger 3 Distal Bone Y,Hand 0 Finger 3 Distal Bone Z,Hand 0 Finger 4 Metacarpal Bone X,Hand 0 Finger 4 Metacarpal Bone Y,Hand 0 Finger 4 Metacarpal Bone Z,Hand 0 Finger 4 Proximal Bone X,Hand 0 Finger 4 Proximal Bone Y,Hand 0 Finger 4 Proximal Bone Z,Hand 0 Finger 4 Intermediate Bone X,Hand 0 Finger 4 Intermediate Bone Y,Hand 0 Finger 4 Intermediate Bone Z,Hand 0 Finger 4 Distal Bone X,Hand 0 Finger 4 Distal Bone Y,Hand 0 Finger 4 Distal Bone Z,Hand 1 Finger 0 Metacarpal Bone X,Hand 1 Finger 0 Metacarpal Bone Y,Hand 1 Finger 0 Metacarpal Bone Z,Hand 1 Finger 0 Proximal Bone X,Hand 1 Finger 0 Proximal Bone Y,Hand 1 Finger 0 Proximal Bone Z,Hand 1 Finger 0 Intermediate Bone X,Hand 1 Finger 0 Intermediate Bone Y,Hand 1 Finger 0 Intermediate Bone Z,Hand 1 Finger 0 Distal Bone X,Hand 1 Finger 0 Distal Bone Y,Hand 1 Finger 0 Distal Bone Z,Hand 1 Finger 1 Metacarpal Bone X,Hand 1 Finger 1 Metacarpal Bone Y,Hand 1 Finger 1 Metacarpal Bone Z,Hand 1 Finger 1 Proximal Bone X,Hand 1 Finger 1 Proximal Bone Y,Hand 1 Finger 1 Proximal Bone Z,Hand 1 Finger 1 Intermediate Bone X,Hand 1 Finger 1 Intermediate Bone Y,Hand 1 Finger 1 Intermediate Bone Z,Hand 1 Finger 1 Distal Bone X,Hand 1 Finger 1 Distal Bone Y,Hand 1 Finger 1 Distal Bone Z,Hand 1 Finger 2 Metacarpal Bone X,Hand 1 Finger 2 Metacarpal Bone Y,Hand 1 Finger 2 Metacarpal Bone Z,Hand 1 Finger 2 Proximal Bone X,Hand 1 Finger 2 Proximal Bone Y,Hand 1 Finger 2 Proximal Bone Z,Hand 1 Finger 2 Intermediate Bone X,Hand 1 Finger 2 Intermediate Bone Y,Hand 1 Finger 2 Intermediate Bone Z,Hand 1 Finger 2 Distal Bone X,Hand 1 Finger 2 Distal Bone Y,Hand 1 Finger 2 Distal Bone Z,Hand 1 Finger 3 Metacarpal Bone X,Hand 1 Finger 3 Metacarpal Bone Y,Hand 1 Finger 3 Metacarpal Bone Z,Hand 1 Finger 3 Proximal Bone X,Hand 1 Finger 3 Proximal Bone Y,Hand 1 Finger 3 Proximal Bone Z,Hand 1 Finger 3 Intermediate Bone X,Hand 1 Finger 3 Intermediate Bone Y,Hand 1 Finger 3 Intermediate Bone Z,Hand 1 Finger 3 Distal Bone X,Hand 1 Finger 3 Distal Bone Y,Hand 1 Finger 3 Distal Bone Z,Hand 1 Finger 4 Metacarpal Bone X,Hand 1 Finger 4 Metacarpal Bone Y,Hand 1 Finger 4 Metacarpal Bone Z,Hand 1 Finger 4 Proximal Bone X,Hand 1 Finger 4 Proximal Bone Y,Hand 1 Finger 4 Proximal Bone Z,Hand 1 Finger 4 Intermediate Bone X,Hand 1 Finger 4 Intermediate Bone Y,Hand 1 Finger 4 Intermediate Bone Z,Hand 1 Finger 4 Distal Bone X,Hand 1 Finger 4 Distal Bone Y,Hand 1 Finger 4 Distal Bone Z,Hand sign
23.411528,-13.770172,44.579155,4.997026,-11.070160,34.659721,-22.484882,-11.284668,14.068638,-33.246674,-17.923859,-2.933479,5.144682,10.418549,17.565063,-35.381233,22.962677,-6.384422,-57.500168,26.164001,-21.381006,-70.061447,27.216705,-28.971613,9.957590,4.406738,4.044716,-28.823404,-1.129730,-9.491089,-37.053772,-20.435120,1.646320,-24.639708,-26.236420,12.286507,16.343851,-4.889618,-5.225014,-17.518963,-11.755951,-19.804325,-26.081383,-28.508484,-7.478775,-14.891491,-32.903229,4.329941,22.134523,-17.209869,-11.425104,-5.970047,-21.426971,-27.382956,-15.387096,-31.973114,-17.012810,-7.674437,-34.494324,-6.624283,-29.465244,3.041199,42.796120,-20.678288,20.743408,35.509632,-3.892742,48.877808,22.687393,10.488743,61.578522,13.903444,-16.138103,11.186890,5.269077,12.910534,32.691559,-27.834482,29.206867,43.707336,-46.231174,41.653275,49.834106,-51.585041,-11.987415,-2.247559,0.542251,19.461185,13.324524,-34.728916,37.914421,22.360413,-58.902836,50.410763,27.861145,-70.014259,-7.530899,-16.135437,1.190112,22.517048,-8.369598,-32.027744,40.742897,-3.496826,-55.867859,53.451553,0.358337,-67.382507,-2.308716,-29.187256,6.420470,24.217606,-29.301697,-23.096050,38.405849,-30.834442,-41.470589,48.743401,-30.688141,-50.714527,0.000000
23.311113,-14.071533,44.533165,4.894903,-11.349548,34.615761,-22.585167,-11.497742,14.004082,-33.257271,-18.102905,-3.042110,5.136438,10.354126,17.652412,-35.374588,22.800812,-6.274376,-57.502647,25.843567,-21.245726,-70.057808,26.999359,-28.790356,9.936209,4.342438,4.089130,-28.709558,-1.178101,-9.471588,-36.808788,-20.593018,1.611725,-24.353561,-26.389343,12.220337,16.344057,-4.896240,-5.221130,-17.392174,-11.736755,-19.817778,-25.843317,-28.593781,-7.515594,-14.631937,-32.995087,4.292793,22.156046,-17.169067,-11.488131,-5.840700,-21.339844,-27.417477,-15.149149,-31.981262,-17.028683,-7.394560,-34.526215,-6.652853,-29.566109,3.009674,42.741219,-20.553894,20.610016,35.492775,-3.553707,48.682312,22.781378,10.807484,61.470947,14.092257,-16.209389,11.101959,5.223270,12.920357,32.857666,-27.659723,29.485851,44.169678,-45.431938,42.130375,50.349609,-50.011345,-11.969360,-2.289185,0.525317,19.510794,13.471375,-34.660774,38.005318,22.786530,-58.707855,50.488888,28.507263,-69.733612,-7.462234,-16.157776,1.209336,22.623421,-8.279968,-31.962564,40.851425,-3.299561,-55.801102,53.505535,0.598755,-67.383575,-2.204453,-29.179077,6.477705,24.406326,-29.229736,-22.975697,38.645271,-30.731140,-41.327713,48.947807,-30.599274,-50.626068,0.000000
23.182928,-14.186768,44.510468,4.744776,-11.428162,34.634087,-22.794752,-11.477386,14.068840,-33.512600,-17.992462,-2.992214,5.070681,10.313995,17.714970,-35.449688,22.636749,-6.227776,-57.581146,25.623444,-21.187462,-70.121483,26.872101,-28.726007,9.902956,4.338226,4.145851,-28.684849,-1.246002,-9.576199,-36.765236,-20.753906,1.377640,-24.331413,-26.598175,12.007713,16.370146,-4.839783,-5.182678,-17.286438,-11.735443,-19.902416,-25.690195,-28.679779,-7.695503,-14.478920,-33.098785,4.122063,22.240316,-17.067230,-11.480442,-5.677399,-21.266815,-27.478310,-14.924299,-31.974030,-17.137573,-7.142065,-34.523926,-6.765669,-29.599068,3.056274,42.682465,-20.573082,20.669678,35.491550,-3.492420,48.747803,22.936329,10.962860,61.634613,14.490326,-16.263626,11.030701,5.182161,12.705963,32.944397,-27.704487,29.201721,44.484344,-45.240116,41.898472,50.707947,-49.372730,-11.968006,-2.336243,0.521347,19.417480,13.362854,-34.749786,37.855637,22.666656,-58.808430,50.381474,28.529968,-69.658714,-7.413380,-16.180847,1.289641,22.578842,-8.409363,-31.930620,40.738018,-3.586609,-55.772041,53.442215,0.251465,-67.244339,-2.084015,-29.151581,6.613288,24.501053,-29.336365,-22.828239,38.711449,-31.008789,-41.156246,49.036751,-30.895386,-50.395229,0.000000
23.058950,-14.281860,44.580353,4.641493,-11.436493,34.687256,-22.911598,-11.319244,14.111721,-33.748451,-17.703156,-2.951603,5.089128,10.298981,17.707378,-35.397144,22.729828,-6.242882,-57.576439,25.720551,-21.138828,-70.156525,26.952240,-28.619064,9.906729,4.299591,4.162277,-28.687731,-1.146393,-9.610477,-36.862045,-20.637726,1.329967,-24.463001,-26.541718,11.967201,16.357599,-4.895264,-5.160583,-17.305132,-11.672455,-19.926264,-25.785145,-28.586761,-7.729958,-14.601271,-33.045990,4.103497,22.187429,-17.147797,-11.446217,-5.728491,-21.242340,-27.491421,-15.025167,-31.899109,-17.169891,-7.252989,-34.456207,-6.791319,-29.573788,3.124542,42.680477,-20.649311,20.796692,35.501854,-3.617397,48.888092,22.943123,10.909714,61.695068,14.490303,-16.247532,11.051300,5.173850,12.651844,32.872711,-27.821360,29.024511,44.339844,-45.567039,41.682022,50.531952,-49.812881,-11.977169,-2.330353,0.525043,19.372097,13.196259,-34.828243,37.791222,22.285034,-58.961670,50.360203,28.029938,-69.800247,-7.435490,-16.177002,1.320944,22.514706,-8.535980,-31.931185,40.672367,-3.844299,-55.743263,53.452877,-0.045990,-67.091660,-2.097206,-29.137787,6.663402,24.436546,-29.438751,-22.794924,38.613770,-31.207306,-41.105789,48.981758,-31.080811,-50.262184,0.000000
23.117762,-13.995667,44.710957,4.707624,-11.121979,34.814053,-22.820339,-11.051117,14.240269,-33.660866,-17.553467,-2.785675,5.183828,10.420319,17.601101,-35.271175,22.946503,-6.357496,-57.469711,25.954742,-21.166161,-70.089813,27.031555,-28.561913,9.936964,4.298004,4.091419,-28.774719,-1.033112,-9.604527,-37.125874,-20.377045,1.475193,-24.789738,-26.320343,12.160851,16.319979,-5.014038,-5.162159,-17.473358,-11.709198,-19.881557,-26.129770,-28.465118,-7.595127,-15.011359,-32.945618,4.286777,22.081816,-17.346283,-11.356571,-5.947113,-21.405823,-27.406393,-15.394876,-31.910095,-17.059214,-7.700071,-34.465118,-6.631781,-29.564281,3.193542,42.690495,-20.604717,20.860504,35.526001,-3.544910,48.953827,22.962572,10.951859,61.774658,14.435608,-16.215977,11.097504,5.156207,12.742256,32.857941,-27.876118,29.100422,44.272552,-45.823658,41.713940,50.470734,-50.425270,-11.970879,-2.298584,0.528648,19.426331,13.187042,-34.828255,37.884956,22.252747,-58.987534,50.474598,27.974060,-69.856766,-7.459568,-16.158539,1.309429,22.566858,-8.526520,-31.912441,40.829079,-3.786469,-55.673546,53.661385,0.060638,-66.983002,-2.160984,-29.138031,6.642370,24.430248,-29.455231,-22.783272,38.698521,-31.197479,-41.034634,49.127533,-31.039276,-50.129513,0.000000
23.234465,-13.711914,44.859661,4.810499,-10.392578,35.148174,-22.914873,-9.627716,14.873821,-34.126045,-15.812988,-2.013996,5.359987,10.564758,17.431446,-35.025120,23.416077,-6.502264,-57.196556,26.697693,-21.237738,-69.810097,27.789703,-28.601782,10.000315,4.273041,3.975952,-28.897787,-0.765564,-9.544350,-37.522709,-19.861084,1.761616,-25.261616,-25.886047,12.488773,16.247633,-5.224335,-5.181458,-17.766788,-11.674377,-19.769234,-26.694752,-28.166626,-7.330236,-15.639381,-32.713623,4.573063,21.857180,-17.695526,-11.241528,-6.352793,-21.597961,-27.234142,-16.005829,-31.827271,-16.809914,-8.377897,-34.371887,-6.345768,-29.378990,3.226196,42.782745,-20.442818,20.911591,35.616940,-3.360855,49.014069,23.084375,11.153255,61.997711,14.661373,-16.220581,11.076538,5.209126,12.579987,32.880219,-27.954166,28.789026,44.313446,-46.123993,41.278458,50.546204,-51.159298,-11.960030,-2.314301,0.585664,19.290379,13.116730,-34.931915,37.706707,22.099274,-59.165535,50.314552,27.835083,-70.016510,-7.425888,-16.167358,1.368501,22.485329,-8.569458,-31.956764,40.746002,-3.885651,-55.698956,53.633041,-0.030090,-66.924263,-2.078621,-29.138275,6.671666,24.473724,-29.503448,-22.797094,38.803616,-31.311310,-40.991287,49.286934,-31.116547,-50.018353,0.000000
23.246906,-13.809235,44.865715,4.883606,-10.352417,35.105080,-22.818195,-9.275177,14.791046,-34.145187,-15.192688,-2.104683,5.393208,10.527954,17.415920,-34.930199,23.625336,-6.526163,-57.038597,27.152710,-21.326183,-69.614456,28.379486,-28.752071,10.023209,4.255737,3.960739,-28.892284,-0.665771,-9.494129,-37.577271,-19.776154,1.844017,-25.338289,-25.876923,12.544498,16.232533,-5.260681,-5.202457,-17.825560,-11.585510,-19.746284,-26.840475,-28.080750,-7.286587,-15.818280,-32.721924,4.602585,21.779636,-17.764526,-11.254225,-6.477060,-21.540955,-27.244507,-16.212706,-31.738586,-16.829779,-8.617649,-34.349304,-6.371449,-29.044205,3.236450,42.958488,-20.372078,21.039612,35.740234,-3.406746,49.109833,23.068930,11.267597,61.933624,14.566244,-16.216843,11.040619,5.321592,12.262543,32.843323,-28.114527,28.167896,44.183716,-46.721458,40.450375,50.352448,-52.409393,-11.951073,-2.346161,0.673777,19.036467,12.892914,-35.144196,37.380020,21.583893,-59.527786,50.036221,27.266174,-70.327499,-7.387924,-16.188141,1.473057,22.252865,-8.710541,-32.062855,40.446594,-4.226166,-55.781456,53.447803,-0.428070,-66.801071,-1.938820,-29.131561,6.741363,24.408230,-29.596954,-22.878962,38.664566,-31.529877,-41.073036,49.173012,-31.254303,-50.020271,0.000000
23.242496,-13.866150,44.806477,4.891029,-10.606049,34.946033,-22.691738,-9.872040,14.462639,-33.807652,-15.989655,-2.509716,5.363422,10.485748,17.466545,-34.950344,23.546570,-6.498728,-57.011745,27.070404,-21.370056,-69.572510,28.324585,-28.814127,10.017563,4.264862,3.976379,-28.891481,-0.707794,-9.513832,-37.586651,-19.913177,1.756195,-25.388500,-26.071960,12.457218,16.249619,-5.207428,-5.216839,-17.786140,-11.583405,-19.788012,-26.804277,-28.178284,-7.370041,-15.827391,-32.863007,4.535038,21.819939,-17.684296,-11.300926,-6.419537,-21.493744,-27.308180,-16.154987,-31.783722,-16.925774,-8.594616,-34.444458,-6.457829,-28.966759,3.120697,43.014488,-20.396545,20.959351,35.760040,-3.518543,49.009644,22.967813,11.171165,61.692688,14.310049,-16.213272,11.030640,5.390823,12.260174,32.839722,-28.027613,28.146528,44.099854,-46.695740,40.354210,50.237427,-52.581734,-11.953339,-2.349426,0.685574,19.006248,12.921814,-35.133102,37.316330,21.558594,-59.554142,49.918915,27.184631,-70.436913,-7.391037,-16.194946,1.438860,22.204924,-8.635132,-32.112404,40.344009,-4.116699,-55.860039,53.284184,-0.327881,-66.949142,-1.931473,-29.152222,6.663847,24.349073,-29.500916,-23.014668,38.533218,-31.340515,-41.272133,48.981785,-31.040314,-50.288349,0.000000
23.168642,-14.054321,44.665462,4.800425,-11.032440,34.743015,-22.675194,-10.711792,14.117275,-33.526199,-17.064423,-2.951473,5.249208,10.363251,17.587696,-35.062008,23.392303,-6.415226,-57.058281,26.987335,-21.406664,-69.579941,28.333282,-28.931044,9.989954,4.289825,4.052746,-28.892260,-0.765594,-9.621407,-37.534927,-20.079803,1.416004,-25.327497,-26.260895,12.092373,16.295465,-5.072296,-5.204380,-17.671127,-11.526215,-19.945396,-26.611324,-28.258148,-7.723064,-15.625610,-32.957947,4.170887,21.962511,-17.456573,-11.390091,-6.207563,-21.316498,-27.503031,-15.878805,-31.763580,-17.243984,-8.306484,-34.463837,-6.791836,-29.018944,3.210419,42.995617,-20.503670,21.030518,35.649323,-3.686218,49.018677,22.698469,11.024963,61.545715,13.954321,-16.192467,11.076599,5.366550,12.378403,32.738647,-28.045002,28.364914,43.892181,-46.626564,40.645985,49.967316,-52.369286,-11.959358,-2.321167,0.672867,19.089264,12.858948,-35.112587,37.437660,21.446686,-59.524242,50.016235,27.002869,-70.476662,-7.423378,-16.175446,1.443478,22.214508,-8.713440,-32.110134,40.331406,-4.259369,-55.929085,53.213226,-0.537964,-67.140610,-2.012672,-29.147400,6.682679,24.263733,-29.535828,-23.018305,38.395691,-31.365173,-41.356224,48.789986,-31.123749,-50.470917,0.000000
23.149563,-13.894501,44.654446,4.749947,-10.913452,34.770535,-22.773697,-10.658112,14.196560,-33.594193,-17.068359,-2.856956,5.181107,10.356445,17.583858,-35.162132,23.453186,-6.386484,-57.135929,27.348297,-21.299881,-69.607475,28.812805,-28.865227,9.973812,4.363403,4.077370,-28.973932,-0.732208,-9.611763,-37.613602,-19.959351,1.407913,-25.336346,-26.169434,12.008816,16.330555,-4.984436,-5.160873,-17.685608,-11.470734,-19.956837,-26.648985,-28.143555,-7.782581,-15.621992,-32.886169,4.067413,22.058292,-17.355743,-11.328182,-6.153551,-21.230469,-27.524929,-15.875584,-31.635742,-17.336418,-8.288242,-34.398926,-6.911682,-29.197426,3.087555,42.930073,-20.610435,20.855499,35.557865,-3.850044,48.847809,22.512424,10.706902,61.302887,13.564674,-16.187988,11.104370,5.322431,12.606678,32.704224,-27.945009,28.797482,43.781708,-46.379429,41.182880,49.876160,-51.853451,-11.964050,-2.307587,0.621562,19.238434,13.026520,-34.966183,37.613045,21.747528,-59.315769,50.120472,27.254120,-70.388672,-7.445198,-16.170776,1.344971,22.348955,-8.546967,-32.076134,40.490326,-3.908417,-55.920059,53.265839,-0.142761,-67.302109,-2.096100,-29.168121,6.582871,24.266834,-29.390839,-23.059498,38.395679,-31.052368,-41.439484,48.734970,-30.832916,-50.644627,0.000000
