Hand 0 Finger 0 Metacarpal Bone X,Hand 0 Finger 0 Metacarpal Bone Y,Hand 0 Finger 0 Metacarpal Bone Z,Hand 0 Finger 0 Proximal Bone X,Hand 0 Finger 0 Proximal Bone Y,Hand 0 Finger 0 Proximal Bone Z,Hand 0 Finger 0 Intermediate Bone X,Hand 0 Finger 0 Intermediate Bone Y,Hand 0 Finger 0 Intermediate Bone Z,Hand 0 Finger 0 Distal Bone X,Hand 0 Finger 0 Distal Bone Y,Hand 0 Finger 0 Distal Bone Z,Hand 0 Finger 1 Metacarpal Bone X,Hand 0 Finger 1 Metacarpal Bone Y,Hand 0 Finger 1 Metacarpal Bone Z,Hand 0 Finger 1 Proximal Bone X,Hand 0 Finger 1 Proximal Bone Y,Hand 0 Finger 1 Proximal Bone Z,Hand 0 Finger 1 Intermediate Bone X,Hand 0 Finger 1 Intermediate Bone Y,Hand 0 Finger 1 Intermediate Bone Z,Hand 0 Finger 1 Distal Bone X,Hand 0 Finger 1 Distal Bone Y,Hand 0 Finger 1 Distal Bone Z,Hand 0 Finger 2 Metacarpal Bone X,Hand 0 Finger 2 Metacarpal Bone Y,Hand 0 Finger 2 Metacarpal Bone Z,Hand 0 Finger 2 Proximal Bone X,Hand 0 Finger 2 Proximal Bone Y,Hand 0 Finger 2 Proximal Bone Z,Hand 0 Finger 2 Intermediate Bone X,Hand 0 Finger 2 Intermediate Bone Y,Hand 0 Finger 2 Intermediate Bone Z,Hand 0 Finger 2 Distal Bone X,Hand 0 Finger 2 Distal Bone Y,Hand 0 Finger 2 Distal Bone Z,Hand 0 Finger 3 Metacarpal Bone X,Hand 0 Finger 3 Metacarpal Bone Y,Hand 0 Finger 3 Metacarpal Bone Z,Hand 0 Finger 3 Proximal Bone X,Hand 0 Finger 3 Proximal Bone Y,Hand 0 Finger 3 Proximal Bone Z,Hand 0 Finger 3 Intermediate Bone X,Hand 0 Finger 3 Intermediate Bone Y,Hand 0 Finger 3 Intermediate Bone Z,Hand 0 Finger 3 Distal Bone X,Hand 0 Finger 3 Distal Bone Y,Hand 0 Finger 3 Distal Bone Z,Hand 0 Finger 4 Metacarpal Bone X,Hand 0 Finger 4 Metacarpal Bone Y,Hand 0 Finger 4 Metacarpal Bone Z,Hand 0 Finger 4 Proximal Bone X,Hand 0 Finger 4 Proximal Bone Y,Hand 0 Finger 4 Proximal Bone Z,Hand 0 Finger 4 Intermediate Bone X,Hand 0 Finger 4 Intermediate Bone Y,Hand 0 Finger 4 Intermediate Bone Z,Hand 0 Finger 4 Distal Bone X,Hand 0 Finger 4 Distal Bone Y,Hand 0 Finger 4 Distal Bone Z,Hand 1 Finger 0 Metacarpal Bone X,Hand 1 Finger 0 Metacarpal Bone Y,Hand 1 Finger 0 Metacarpal Bone Z,Hand 1 Finger 0 Proximal Bone X,Hand 1 Finger 0 Proximal Bone Y,Hand 1 Finger 0 Proximal Bone Z,Hand 1 Finger 0 Intermediate Bone X,Hand 1 Finger 0 Intermediate Bone Y,Hand 1 Finger 0 Intermediate Bone Z,Hand 1 Finger 0 Distal Bone X,Hand 1 Finger 0 Distal Bone Y,Hand 1 Finger 0 Distal Bone Z,Hand 1 Finger 1 Metacarpal Bone X,Hand 1 Finger 1 Metacarpal Bone Y,Hand 1 Finger 1 Metacarpal Bone Z,Hand 1 Finger 1 Proximal Bone X,Hand 1 Finger 1 Proximal Bone Y,Hand 1 Finger 1 Proximal Bone Z,Hand 1 Finger 1 Intermediate Bone X,Hand 1 Finger 1 Intermediate Bone Y,Hand 1 Finger 1 Intermediate Bone Z,Hand 1 Finger 1 Distal Bone X,Hand 1 Finger 1 Distal Bone Y,Hand 1 Finger 1 Distal Bone Z,Hand 1 Finger 2 Metacarpal Bone X,Hand 1 Finger 2 Metacarpal Bone Y,Hand 1 Finger 2 Metacarpal Bone Z,Hand 1 Finger 2 Proximal Bone X,Hand 1 Finger 2 Proximal Bone Y,Hand 1 Finger 2 Proximal Bone Z,Hand 1 Finger 2 Intermediate Bone X,Hand 1 Finger 2 Intermediate Bone Y,Hand 1 Finger 2 Intermediate Bone Z,Hand 1 Finger 2 Distal Bone X,Hand 1 Finger 2 Distal Bone Y,Hand 1 Finger 2 Distal Bone Z,Hand 1 Finger 3 Metacarpal Bone X,Hand 1 Finger 3 Metacarpal Bone Y,Hand 1 Finger 3 Metacarpal Bone Z,Hand 1 Finger 3 Proximal Bone X,Hand 1 Finger 3 Proximal Bone Y,Hand 1 Finger 3 Proximal Bone Z,Hand 1 Finger 3 Intermediate Bone X,Hand 1 Finger 3 Intermediate Bone Y,Hand 1 Finger 3 Intermediate Bone Z,Hand 1 Finger 3 Distal Bone X,Hand 1 Finger 3 Distal Bone Y,Hand 1 Finger 3 Distal Bone Z,Hand 1 Finger 4 Metacarpal Bone X,Hand 1 Finger 4 Metacarpal Bone Y,Hand 1 Finger 4 Metacarpal Bone Z,Hand 1 Finger 4 Proximal Bone X,Hand 1 Finger 4 Proximal Bone Y,Hand 1 Finger 4 Proximal Bone Z,Hand 1 Finger 4 Intermediate Bone X,Hand 1 Finger 4 Intermediate Bone Y,Hand 1 Finger 4 Intermediate Bone Z,Hand 1 Finger 4 Distal Bone X,Hand 1 Finger 4 Distal Bone Y,Hand 1 Finger 4 Distal Bone Z,Hand sign
-14.339086,-27.071823,42.900936,-21.219086,-27.404816,22.625851,-27.604239,-28.828491,-11.062298,-23.579893,-31.161438,-32.927685,-15.903334,0.790649,11.818573,-21.542337,-6.532135,-24.236183,-19.545000,-27.828156,-22.997971,-18.857731,-33.068756,-8.595325,-1.580873,3.858704,10.792978,-5.844004,-5.553894,-24.430946,-7.511396,-29.543228,-21.680084,-7.068728,-34.702911,-4.990019,13.151009,3.550034,12.147736,12.259743,-4.871490,-20.143324,7.835501,-27.062256,-17.815859,5.622524,-32.381531,-1.541567,27.043629,-1.929810,13.567247,27.958511,-5.311890,-16.157423,22.446663,-21.911697,-17.272255,21.153713,-27.441376,-4.838849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
-14.277691,-27.361053,42.737614,-21.185331,-27.592621,22.470514,-27.608236,-28.834488,-11.216308,-23.600925,-31.026962,-33.099857,-15.909740,0.676956,11.817009,-21.515457,-6.447372,-24.293404,-19.458778,-27.751892,-23.198895,-18.761845,-33.096451,-8.835251,-1.595663,3.791458,10.814611,-5.819568,-5.427200,-24.468174,-7.419288,-29.428329,-21.855679,-6.966854,-34.670761,-5.191678,13.136549,3.516632,12.173071,12.280764,-4.719528,-20.167053,7.920073,-26.925217,-17.963066,5.718750,-32.329773,-1.713707,27.044127,-1.932022,13.565939,27.978315,-5.143051,-16.169771,22.517488,-21.742172,-17.361668,21.244459,-27.319504,-4.946502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
-14.061342,-27.265442,42.870235,-20.930975,-27.725845,22.594128,-27.292469,-29.281662,-11.094160,-23.245449,-31.571426,-32.961643,-15.949560,0.556458,11.769524,-21.370150,-6.832718,-24.381002,-19.059601,-28.143036,-23.268745,-18.337982,-33.503281,-8.918505,-1.671825,3.839279,10.786194,-5.686132,-5.632767,-24.497694,-7.004346,-29.650360,-21.809473,-6.538025,-34.829666,-5.132050,13.058815,3.753006,12.186119,12.215235,-4.649765,-20.149096,9.171371,-27.068390,-17.858982,9.028294,-32.763077,-1.562445,27.027927,-1.516449,13.650780,28.086876,-4.887039,-16.088680,22.835079,-21.550827,-17.224298,21.594273,-27.081558,-4.784617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
-13.735220,-26.459930,43.476421,-20.950392,-27.534637,23.344093,-27.675634,-29.980453,-10.175718,-23.471859,-32.631546,-31.930481,-16.150940,0.309631,11.500916,-20.680790,-8.519638,-24.089859,-17.536270,-29.842178,-21.905819,-16.784376,-34.720291,-7.405309,-1.991835,4.100052,10.634814,-5.062771,-6.653198,-24.200882,-5.524906,-30.769455,-20.653236,-5.142292,-35.427567,-3.892266,12.706648,4.615158,12.262166,12.709101,-4.834946,-19.698084,10.462233,-27.356537,-16.681322,10.271021,-32.475647,-0.264124,26.837191,-0.073700,14.103616,28.493147,-4.391235,-15.328988,23.881186,-21.271576,-15.786436,22.718676,-26.107391,-3.126246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
-13.692090,-26.050095,43.736740,-21.242926,-27.192596,23.731638,-28.439747,-29.771225,-9.658410,-24.344494,-32.540359,-31.390135,-16.160181,0.382080,11.485746,-20.637308,-8.839371,-23.974655,-17.404106,-30.306702,-21.646576,-16.597839,-35.329559,-7.202415,-2.011240,4.203583,10.590654,-5.026154,-6.916199,-24.134691,-5.426807,-31.104980,-20.408115,-5.047313,-35.684219,-3.671416,12.684528,4.777145,12.222967,12.736046,-5.025360,-19.570166,10.547302,-27.565903,-16.268883,10.366566,-32.430557,0.170402,26.826942,0.147644,14.122522,28.507946,-4.507187,-15.180684,23.940220,-21.405014,-15.352926,22.826473,-25.909256,-2.617469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
-13.780300,-25.302673,44.145916,-21.450956,-26.648727,24.199144,-28.813627,-29.604309,-9.113970,-24.743805,-32.678833,-30.795650,-16.157995,0.621368,11.478367,-20.673225,-9.117218,-23.925877,-17.505400,-30.684280,-21.465925,-16.688061,-35.783859,-7.045640,-1.995829,4.378601,10.522430,-5.212782,-7.279907,-24.007544,-4.594860,-31.468750,-20.024038,-2.162460,-35.852264,-3.429120,12.701962,4.926651,12.145269,12.716202,-5.397964,-19.435865,10.448475,-27.887634,-15.721136,10.259256,-32.415878,0.784415,26.828217,0.278488,14.118126,28.486835,-4.865631,-15.068279,23.858047,-21.747574,-14.917965,22.750656,-25.948212,-2.103224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
-13.527777,-25.306137,44.221966,-21.210375,-26.700851,24.283134,-28.599552,-29.704987,-9.022380,-24.540869,-32.759750,-30.706291,-16.142502,0.532135,11.504620,-20.652271,-9.287735,-23.946711,-17.327509,-30.883896,-21.582439,-16.438354,-36.109955,-7.207311,-2.008669,4.386536,10.516684,-5.202234,-7.366516,-23.983400,-4.408285,-31.545944,-19.952997,-1.917498,-35.880051,-3.355863,12.687643,5.040970,12.113281,12.720358,-5.361038,-19.410707,10.618670,-27.847214,-15.595469,10.494617,-32.287033,0.927953,26.849466,0.496078,14.071688,28.492193,-4.708481,-15.082041,23.984205,-21.609787,-14.845076,22.940981,-25.730545,-2.003802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
-13.414397,-25.467865,44.163616,-21.087988,-26.787399,24.216204,-28.490692,-29.661789,-9.104826,-24.477489,-32.627762,-30.811886,-16.114332,0.487473,11.546013,-20.710268,-9.197006,-23.955418,-17.376213,-30.812881,-21.718695,-16.448362,-36.136322,-7.378723,-1.983704,4.348251,10.537302,-5.098805,-7.281906,-24.011574,-5.394598,-31.461792,-19.964146,-4.930994,-35.842773,-3.193814,12.716354,4.999893,12.100199,12.673634,-5.291702,-19.451492,10.586590,-27.785309,-15.696405,10.504957,-32.275284,0.817407,26.883808,0.450821,14.007492,28.455631,-4.650162,-15.164890,23.952595,-21.548386,-14.968597,22.942806,-25.709518,-2.134392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
-13.321428,-26.167709,43.780975,-20.992853,-27.192368,23.815411,-28.424486,-29.568085,-9.546488,-24.482401,-32.201050,-31.314926,-16.086765,0.308807,11.590532,-20.768137,-8.825073,-23.986605,-17.434908,-30.459595,-22.011576,-16.474796,-35.944016,-7.733169,-1.956823,4.179428,10.610390,-5.158855,-6.893539,-24.113163,-5.455755,-31.129303,-20.449768,-4.954405,-35.788498,-3.746197,12.747183,4.799835,12.148676,12.625792,-4.960342,-19.632013,10.532812,-27.533112,-16.332100,10.477631,-32.391617,0.086676,26.917055,0.214874,13.949129,28.422033,-4.396576,-15.350289,23.910742,-21.304062,-15.486140,22.913622,-25.750824,-2.741446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
-13.275328,-26.516129,43.584900,-20.940577,-27.455902,23.612789,-28.390360,-29.672211,-9.763376,-24.514284,-32.173462,-31.566385,-16.081112,0.204926,11.600674,-20.769718,-8.679169,-23.985924,-17.413774,-30.302811,-22.088734,-16.444248,-35.811531,-7.822085,-1.955185,4.095825,10.643242,-5.164930,-6.712372,-24.162926,-5.437922,-30.974091,-20.684925,-4.923855,-35.771515,-4.014530,12.749039,4.717743,12.178844,12.620895,-4.768555,-19.755880,10.544258,-27.396027,-16.747379,10.489578,-32.501801,-0.395586,26.923973,0.131958,13.936800,28.423340,-4.226517,-15.451117,23.925514,-21.149216,-15.801083,22.920761,-25.788193,-3.121224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
