Hand 0 Finger 0 Metacarpal Bone X,Hand 0 Finger 0 Metacarpal Bone Y,Hand 0 Finger 0 Metacarpal Bone Z,Hand 0 Finger 0 Proximal Bone X,Hand 0 Finger 0 Proximal Bone Y,Hand 0 Finger 0 Proximal Bone Z,Hand 0 Finger 0 Intermediate Bone X,Hand 0 Finger 0 Intermediate Bone Y,Hand 0 Finger 0 Intermediate Bone Z,Hand 0 Finger 0 Distal Bone X,Hand 0 Finger 0 Distal Bone Y,Hand 0 Finger 0 Distal Bone Z,Hand 0 Finger 1 Metacarpal Bone X,Hand 0 Finger 1 Metacarpal Bone Y,Hand 0 Finger 1 Metacarpal Bone Z,Hand 0 Finger 1 Proximal Bone X,Hand 0 Finger 1 Proximal Bone Y,Hand 0 Finger 1 Proximal Bone Z,Hand 0 Finger 1 Intermediate Bone X,Hand 0 Finger 1 Intermediate Bone Y,Hand 0 Finger 1 Intermediate Bone Z,Hand 0 Finger 1 Distal Bone X,Hand 0 Finger 1 Distal Bone Y,Hand 0 Finger 1 Distal Bone Z,Hand 0 Finger 2 Metacarpal Bone X,Hand 0 Finger 2 Metacarpal Bone Y,Hand 0 Finger 2 Metacarpal Bone Z,Hand 0 Finger 2 Proximal Bone X,Hand 0 Finger 2 Proximal Bone Y,Hand 0 Finger 2 Proximal Bone Z,Hand 0 Finger 2 Intermediate Bone X,Hand 0 Finger 2 Intermediate Bone Y,Hand 0 Finger 2 Intermediate Bone Z,Hand 0 Finger 2 Distal Bone X,Hand 0 Finger 2 Distal Bone Y,Hand 0 Finger 2 Distal Bone Z,Hand 0 Finger 3 Metacarpal Bone X,Hand 0 Finger 3 Metacarpal Bone Y,Hand 0 Finger 3 Metacarpal Bone Z,Hand 0 Finger 3 Proximal Bone X,Hand 0 Finger 3 Proximal Bone Y,Hand 0 Finger 3 Proximal Bone Z,Hand 0 Finger 3 Intermediate Bone X,Hand 0 Finger 3 Intermediate Bone Y,Hand 0 Finger 3 Intermediate Bone Z,Hand 0 Finger 3 Distal Bone X,Hand 0 Finger 3 Distal Bone Y,Hand 0 Finger 3 Distal Bone Z,Hand 0 Finger 4 Metacarpal Bone X,Hand 0 Finger 4 Metacarpal Bone Y,Hand 0 Finger 4 Metacarpal Bone Z,Hand 0 Finger 4 Proximal Bone X,Hand 0 Finger 4 Proximal Bone Y,Hand 0 Finger 4 Proximal Bone Z,Hand 0 Finger 4 Intermediate Bone X,Hand 0 Finger 4 Intermediate Bone Y,Hand 0 Finger 4 Intermediate Bone Z,Hand 0 Finger 4 Distal Bone X,Hand 0 Finger 4 Distal Bone Y,Hand 0 Finger 4 Distal Bone Z,Hand 1 Finger 0 Metacarpal Bone X,Hand 1 Finger 0 Metacarpal Bone Y,Hand 1 Finger 0 Metacarpal Bone Z,Hand 1 Finger 0 Proximal Bone X,Hand 1 Finger 0 Proximal Bone Y,Hand 1 Finger 0 Proximal Bone Z,Hand 1 Finger 0 Intermediate Bone X,Hand 1 Finger 0 Intermediate Bone Y,Hand 1 Finger 0 Intermediate Bone Z,Hand 1 Finger 0 Distal Bone X,Hand 1 Finger 0 Distal Bone Y,Hand 1 Finger 0 Distal Bone Z,Hand 1 Finger 1 Metacarpal Bone X,Hand 1 Finger 1 Metacarpal Bone Y,Hand 1 Finger 1 Metacarpal Bone Z,Hand 1 Finger 1 Proximal Bone X,Hand 1 Finger 1 Proximal Bone Y,Hand 1 Finger 1 Proximal Bone Z,Hand 1 Finger 1 Intermediate Bone X,Hand 1 Finger 1 Intermediate Bone Y,Hand 1 Finger 1 Intermediate Bone Z,Hand 1 Finger 1 Distal Bone X,Hand 1 Finger 1 Distal Bone Y,Hand 1 Finger 1 Distal Bone Z,Hand 1 Finger 2 Metacarpal Bone X,Hand 1 Finger 2 Metacarpal Bone Y,Hand 1 Finger 2 Metacarpal Bone Z,Hand 1 Finger 2 Proximal Bone X,Hand 1 Finger 2 Proximal Bone Y,Hand 1 Finger 2 Proximal Bone Z,Hand 1 Finger 2 Intermediate Bone X,Hand 1 Finger 2 Intermediate Bone Y,Hand 1 Finger 2 Intermediate Bone Z,Hand 1 Finger 2 Distal Bone X,Hand 1 Finger 2 Distal Bone Y,Hand 1 Finger 2 Distal Bone Z,Hand 1 Finger 3 Metacarpal Bone X,Hand 1 Finger 3 Metacarpal Bone Y,Hand 1 Finger 3 Metacarpal Bone Z,Hand 1 Finger 3 Proximal Bone X,Hand 1 Finger 3 Proximal Bone Y,Hand 1 Finger 3 Proximal Bone Z,Hand 1 Finger 3 Intermediate Bone X,Hand 1 Finger 3 Intermediate Bone Y,Hand 1 Finger 3 Intermediate Bone Z,Hand 1 Finger 3 Distal Bone X,Hand 1 Finger 3 Distal Bone Y,Hand 1 Finger 3 Distal Bone Z,Hand 1 Finger 4 Metacarpal Bone X,Hand 1 Finger 4 Metacarpal Bone Y,Hand 1 Finger 4 Metacarpal Bone Z,Hand 1 Finger 4 Proximal Bone X,Hand 1 Finger 4 Proximal Bone Y,Hand 1 Finger 4 Proximal Bone Z,Hand 1 Finger 4 Intermediate Bone X,Hand 1 Finger 4 Intermediate Bone Y,Hand 1 Finger 4 Intermediate Bone Z,Hand 1 Finger 4 Distal Bone X,Hand 1 Finger 4 Distal Bone Y,Hand 1 Finger 4 Distal Bone Z,Hand sign
-8.677307,-7.463135,49.469994,-24.354767,-3.701569,37.364265,-49.679199,2.287354,15.823212,-64.204590,5.623505,1.215851,-10.978760,9.334106,14.268700,-27.121422,15.702698,-30.066555,-33.841354,20.536774,-54.345840,-38.803421,16.965393,-66.921600,2.846947,7.898285,9.112572,-5.525711,13.327271,-37.565830,-7.222702,18.671906,-66.469627,-10.140564,15.586212,-81.995522,16.068871,2.301819,7.655312,15.376114,5.389038,-35.565464,18.553253,9.236084,-62.952332,18.268188,6.305939,-78.589340,27.394562,-7.229797,8.532524,33.353439,-6.318665,-28.943924,40.740524,-5.393890,-48.974129,42.714233,-8.858032,-60.912533,-0.596779,-11.889893,49.565987,17.248005,-9.717255,40.575218,46.367989,-6.389008,24.098862,63.307709,-4.718536,12.306908,9.069092,7.131012,16.455841,34.136909,14.790436,-23.292780,47.250671,20.860504,-44.381298,55.062172,18.517242,-55.620880,-3.673195,7.578033,9.225296,13.522499,15.232330,-34.622505,21.416164,23.075378,-61.787457,26.833542,22.158508,-76.732674,-16.879044,3.440033,5.277893,-7.975357,9.357269,-36.707787,-5.130699,15.782867,-63.459541,-2.170029,14.705780,-78.855476,-28.783234,-5.223724,3.613079,-27.852432,-1.137817,-34.083988,-30.853607,1.736938,-54.720928,-30.574051,-0.878571,-66.802673,0.000000
-8.787949,-7.412445,49.407177,-24.539894,-3.370270,37.476902,-49.982635,3.262726,16.229008,-64.588440,7.187164,1.814007,-11.085320,9.295990,14.232819,-27.672180,14.629822,-30.287813,-35.342644,17.363892,-54.355755,-40.826256,11.897797,-65.961189,2.707550,7.895569,9.108318,-5.700127,12.787384,-37.725090,-7.630409,17.329742,-66.734756,-10.690712,13.568390,-82.070374,16.003700,2.468903,7.701977,15.418953,5.190338,-35.599964,18.593941,8.492401,-63.049965,18.285728,5.113251,-78.594666,27.441261,-6.904480,8.648437,33.416435,-6.225220,-28.870300,40.648170,-5.716583,-48.918385,42.495903,-9.595062,-60.730972,-0.324356,-12.525940,49.406479,17.361923,-10.098633,40.144783,46.317421,-6.447266,23.362099,63.324242,-4.679718,11.612625,8.940853,6.993042,16.603107,33.652248,15.995117,-22.977766,46.413345,22.729431,-43.939964,54.250908,20.174805,-55.013397,-3.819717,7.380737,9.356056,13.168655,15.991302,-34.338802,20.850941,24.032715,-61.378002,26.320480,22.650269,-76.128242,-16.939568,3.050659,5.323681,-8.150772,9.508240,-36.608448,-5.330627,15.567474,-63.307297,-2.128197,13.782043,-78.508659,-28.737991,-5.686829,3.444344,-27.840225,-1.451965,-34.303314,-30.959518,0.836578,-54.989418,-30.839394,-2.403625,-66.918854,0.000000
-8.752289,-7.791504,49.363686,-24.644051,-4.431366,37.394730,-50.347424,0.870392,16.056709,-65.014114,3.731110,1.430466,-11.250557,9.052460,14.258865,-28.161400,13.933990,-30.287970,-36.214409,15.673248,-54.190735,-41.486252,9.091766,-65.167068,2.534889,7.881378,9.131172,-5.921318,12.978516,-37.683605,-7.869865,17.992279,-66.698051,-10.718071,14.557739,-82.172150,15.939262,2.717560,7.735439,15.316734,5.848419,-35.525524,18.447472,9.900635,-62.945328,18.287270,7.080292,-78.610260,27.531380,-6.466888,8.693932,33.420509,-5.362885,-28.832790,40.492744,-4.311035,-48.907791,42.333717,-7.863800,-60.781593,-0.341610,-12.767792,49.317101,17.351524,-10.407593,40.039635,46.416870,-6.956970,23.357582,63.665382,-5.370117,11.900349,8.866230,6.925476,16.677612,33.448235,16.565155,-22.758701,45.968388,24.019287,-43.666458,53.826473,21.982910,-54.856041,-3.896412,7.311768,9.400887,13.199902,16.260254,-34.180210,21.018536,24.313293,-61.124134,26.657356,22.793365,-75.791847,-16.974979,2.914917,5.302067,-8.064381,9.540588,-36.592533,-5.081211,15.386536,-63.259560,-1.695774,13.334290,-78.379288,-28.727184,-5.850006,3.302437,-27.806171,-1.569702,-34.455048,-30.981297,0.516388,-55.166679,-30.880817,-2.847839,-67.086571,0.000000
-8.584152,-7.920502,49.409794,-24.515747,-5.104126,37.364712,-50.263180,-0.825684,15.879959,-64.930359,1.273682,1.145298,-11.263626,8.976257,14.295101,-28.157684,14.030823,-30.191637,-35.904266,16.268250,-54.242882,-40.771751,10.002411,-65.496361,2.539085,7.896179,9.134697,-6.024658,13.150635,-37.610092,-7.926521,18.429443,-66.576256,-10.573387,15.151093,-82.103165,15.959030,2.774475,7.706703,15.122223,6.056091,-35.533714,18.048676,10.299805,-62.930363,17.866150,7.583008,-78.601883,27.572113,-6.395721,8.634640,33.241058,-5.186218,-28.941757,40.049194,-4.068115,-49.072739,41.732040,-7.637817,-60.939331,-0.329544,-12.749969,49.264229,17.380798,-10.453674,39.983673,46.557972,-7.103180,23.409485,64.002769,-5.539276,12.195068,8.876747,6.915192,16.706974,33.460312,16.480438,-22.766312,45.949471,23.939423,-43.721485,53.835815,22.173492,-55.011978,-3.883797,7.298737,9.412697,13.346745,16.023193,-34.232544,21.382446,23.687042,-61.231670,27.170616,21.994385,-75.869301,-16.968925,2.918579,5.292397,-7.935783,9.355438,-36.671528,-4.779564,14.875916,-63.412739,-1.319992,12.673370,-78.538277,-28.758049,-5.797394,3.268559,-27.829201,-1.609039,-34.528358,-31.015572,0.412109,-55.298939,-30.922844,-2.858093,-67.289520,0.000000
-8.350594,-7.937744,49.452049,-24.176735,-4.500275,37.443336,-49.773285,0.954895,16.066700,-64.549637,3.991516,1.621384,-11.098732,9.023163,14.413536,-27.740822,15.039825,-29.850164,-34.867088,19.221802,-54.030903,-39.710976,14.842194,-66.237511,2.718132,7.889648,9.141037,-5.967316,13.471497,-37.483677,-7.812691,19.163574,-66.371025,-10.549141,16.416016,-82.029251,16.054871,2.573425,7.598053,15.056282,5.961700,-35.618565,18.014702,10.324890,-63.012066,17.831306,7.923157,-78.779160,27.579292,-6.732788,8.394913,33.208504,-5.524536,-29.171413,40.278236,-4.317444,-49.300831,42.204811,-7.521240,-61.314430,-0.341949,-12.884583,49.201633,17.432270,-10.948914,39.924458,46.755619,-8.138000,23.404926,64.470894,-6.729187,12.506557,9.006630,6.810211,16.709770,33.876331,15.729675,-22.893791,46.633045,22.849152,-43.980957,54.470398,21.671265,-55.557949,-3.751259,7.279175,9.448872,13.779884,15.529053,-34.290363,22.234184,22.834778,-61.329453,28.101753,21.630249,-76.174927,-16.910095,3.110840,5.320648,-7.596771,9.268188,-36.738110,-4.070099,14.632782,-63.566822,-0.649307,12.873047,-78.897964,-28.836563,-5.422546,3.318501,-27.773224,-1.320435,-34.545349,-30.635170,0.679993,-55.403107,-30.333725,-2.196655,-67.582520,0.000000
-8.566719,-8.453796,49.349606,-24.388893,-4.381104,37.537830,-50.013119,2.213745,16.513248,-64.798569,6.017883,2.258923,-10.942635,9.031921,14.532543,-27.410530,16.092712,-29.623329,-34.499779,20.933228,-53.698257,-39.651485,17.007751,-65.995071,2.852829,7.700317,9.272041,-5.728531,14.084839,-37.250992,-7.626472,19.968811,-66.002670,-10.684822,17.069519,-81.523834,16.086502,2.153748,7.635937,15.257774,6.075012,-35.535469,18.373528,10.393372,-62.866497,18.087196,7.726746,-78.570465,27.488304,-7.318634,8.257816,33.335854,-5.809631,-29.265005,40.701378,-4.749359,-49.338211,42.728081,-8.129181,-61.338566,-0.222733,-13.237213,49.121319,17.624992,-11.355713,39.979687,47.045403,-8.453766,23.652069,64.846062,-6.832458,12.924892,9.248703,6.605621,16.669468,34.366112,14.721130,-23.143797,47.562370,21.048340,-44.328880,55.400433,19.820068,-55.981987,-3.534767,7.229736,9.526512,14.086586,14.971436,-34.398437,22.855659,21.607849,-61.534401,28.729813,20.312653,-76.450394,-16.801422,3.357941,5.462143,-7.458359,9.261597,-36.730675,-3.724548,14.246460,-63.652779,-0.379959,12.431519,-79.042664,-28.909882,-4.912659,3.521671,-27.859528,-0.846558,-34.403961,-30.454079,0.962250,-55.298279,-29.955055,-1.947510,-67.474335,0.000000
-8.600624,-8.486084,49.365604,-24.523430,-4.455841,37.686680,-50.239723,2.022400,16.777279,-64.868362,5.669342,2.349857,-10.891479,9.089874,14.528023,-27.597420,15.932159,-29.683697,-35.168983,19.664154,-53.623497,-40.537556,14.341858,-65.167656,2.869698,7.656677,9.279003,-5.751518,13.984131,-37.291115,-7.858971,19.252502,-66.053543,-11.176521,15.404297,-81.214752,16.084114,2.067719,7.652256,15.253296,5.889984,-35.555473,18.201134,9.546936,-62.895889,17.593956,5.900024,-78.307907,27.462135,-7.426605,8.259857,33.287453,-6.053925,-29.300468,40.471962,-5.541107,-49.382843,42.156471,-9.672638,-61.154606,-0.235931,-13.031952,49.177872,17.622097,-11.037384,40.108841,46.998512,-7.804382,23.834759,64.669823,-5.896759,12.995312,9.349506,6.621155,16.604309,34.574875,14.062866,-23.324827,47.985229,19.790466,-44.532879,55.854095,18.250336,-56.111763,-3.436882,7.298157,9.494236,14.141579,14.627258,-34.534725,22.885056,21.123108,-61.744934,28.661995,19.853394,-76.697113,-16.752052,3.539581,5.499062,-7.542198,9.232666,-36.733490,-3.994728,14.372253,-63.682953,-0.852882,12.797852,-79.132103,-28.928452,-4.652527,3.658409,-27.973473,-0.649933,-34.246967,-30.689568,1.371948,-55.098438,-30.347855,-1.348694,-67.293167,0.000000
-8.624901,-8.310791,49.385582,-24.578911,-4.374695,37.710564,-50.333923,1.988434,16.795677,-64.961884,5.613556,2.343567,-10.931755,9.118439,14.482143,-27.888084,15.348541,-29.820423,-35.787727,18.283295,-53.734509,-41.153240,12.415192,-65.004242,2.807266,7.687500,9.239212,-5.951790,13.599640,-37.437885,-8.243355,18.520599,-66.300232,-11.550110,14.571411,-81.481133,16.060783,2.176941,7.652992,15.091637,5.668365,-35.641872,17.785896,9.028778,-63.068119,17.057594,5.243988,-78.453087,27.485100,-7.251587,8.332085,33.137383,-6.094513,-29.306814,40.004173,-5.766815,-49.468113,41.497948,-10.016937,-61.201576,-0.220695,-12.780243,49.215328,17.643486,-10.784088,40.170673,46.995266,-7.592773,23.876842,64.580460,-5.755524,12.904995,9.426968,6.617889,16.552090,34.626701,13.780273,-23.411453,48.070194,19.444794,-44.590424,55.948723,17.818115,-56.127327,-3.367119,7.384857,9.467567,14.124275,14.460907,-34.610783,22.780777,20.955048,-61.846867,28.471046,19.693298,-76.817154,-16.716957,3.701721,5.529881,-7.611710,9.196228,-36.719292,-4.172737,14.334351,-63.662285,-1.126518,12.777527,-79.114166,-28.933563,-4.449768,3.768215,-28.039024,-0.540588,-34.118660,-30.812149,1.557709,-54.920746,-30.561691,-1.144775,-67.091995,0.000000
-8.564140,-8.050781,49.423687,-24.546227,-4.158112,37.763729,-50.377968,2.158966,16.898441,-65.113518,5.793579,2.527782,-10.964943,9.154266,14.445786,-28.188103,14.702179,-29.912514,-36.358116,16.933990,-53.796440,-41.696049,10.696014,-64.881302,2.753845,7.744415,9.181561,-6.203522,13.115448,-37.600777,-8.668617,17.644714,-66.577209,-11.901024,13.685822,-81.842735,16.049324,2.319427,7.620281,14.874847,5.446075,-35.752495,17.329636,8.658051,-63.273621,16.591896,5.018982,-78.745941,27.530083,-7.035645,8.371075,32.990959,-6.079620,-29.330391,39.616783,-5.748749,-49.571541,41.040077,-9.879791,-61.353786,-0.156883,-12.514618,49.269360,17.704723,-10.471069,40.239155,47.042931,-7.211182,23.952267,64.591896,-5.345886,12.937283,9.476242,6.668152,16.498371,34.591171,13.696289,-23.509838,47.980595,19.444702,-44.700706,55.837719,17.840210,-56.246941,-3.327667,7.459595,9.428463,14.016792,14.452942,-34.684513,22.494865,21.187012,-61.947514,28.071327,20.135315,-76.985733,-16.698166,3.791077,5.538574,-7.736618,9.261475,-36.700214,-4.477539,14.723785,-63.623222,-1.553253,13.460693,-79.130524,-28.928001,-4.374390,3.853638,-28.140121,-0.435120,-33.995018,-31.049118,1.988281,-54.750774,-30.925827,-0.465363,-66.969894,0.000000
-8.547134,-7.848785,49.463055,-24.507698,-3.876984,37.805782,-50.287430,2.521973,16.914501,-64.930222,6.136047,2.453495,-10.981956,9.196747,14.408741,-28.422112,14.239868,-29.965633,-36.879860,15.934296,-53.752991,-42.265839,9.427094,-64.644775,2.719643,7.790619,9.139778,-6.330544,12.897003,-37.674393,-8.862732,17.506287,-66.694778,-12.013161,13.911469,-82.113182,16.040443,2.415466,7.604912,14.812569,5.501617,-35.754154,17.306969,9.178833,-63.286785,16.786987,6.176422,-78.942459,27.542244,-6.919159,8.422012,32.958717,-5.871918,-29.258560,39.617683,-5.029236,-49.506317,41.236916,-8.638153,-61.433460,-0.079041,-12.420929,49.292809,17.801109,-10.427979,40.289734,47.170258,-7.307098,24.031990,64.712967,-5.582489,12.977886,9.509193,6.684540,16.473236,34.547226,13.711548,-23.567333,47.877182,19.538666,-44.778938,55.708054,17.929413,-56.341843,-3.306435,7.484100,9.419449,13.986916,14.431580,-34.713783,22.455605,21.151947,-61.978661,28.045494,20.040009,-77.005379,-16.687515,3.819214,5.552921,-7.762939,9.236359,-36.697182,-4.488892,14.655243,-63.618874,-1.533005,13.317902,-79.112663,-28.928345,-4.343231,3.901306,-28.160255,-0.445343,-33.952335,-31.039024,1.952911,-54.702175,-30.881165,-0.577240,-66.897476,0.000000
