Hand 0 Finger 0 Metacarpal Bone X,Hand 0 Finger 0 Metacarpal Bone Y,Hand 0 Finger 0 Metacarpal Bone Z,Hand 0 Finger 0 Proximal Bone X,Hand 0 Finger 0 Proximal Bone Y,Hand 0 Finger 0 Proximal Bone Z,Hand 0 Finger 0 Intermediate Bone X,Hand 0 Finger 0 Intermediate Bone Y,Hand 0 Finger 0 Intermediate Bone Z,Hand 0 Finger 0 Distal Bone X,Hand 0 Finger 0 Distal Bone Y,Hand 0 Finger 0 Distal Bone Z,Hand 0 Finger 1 Metacarpal Bone X,Hand 0 Finger 1 Metacarpal Bone Y,Hand 0 Finger 1 Metacarpal Bone Z,Hand 0 Finger 1 Proximal Bone X,Hand 0 Finger 1 Proximal Bone Y,Hand 0 Finger 1 Proximal Bone Z,Hand 0 Finger 1 Intermediate Bone X,Hand 0 Finger 1 Intermediate Bone Y,Hand 0 Finger 1 Intermediate Bone Z,Hand 0 Finger 1 Distal Bone X,Hand 0 Finger 1 Distal Bone Y,Hand 0 Finger 1 Distal Bone Z,Hand 0 Finger 2 Metacarpal Bone X,Hand 0 Finger 2 Metacarpal Bone Y,Hand 0 Finger 2 Metacarpal Bone Z,Hand 0 Finger 2 Proximal Bone X,Hand 0 Finger 2 Proximal Bone Y,Hand 0 Finger 2 Proximal Bone Z,Hand 0 Finger 2 Intermediate Bone X,Hand 0 Finger 2 Intermediate Bone Y,Hand 0 Finger 2 Intermediate Bone Z,Hand 0 Finger 2 Distal Bone X,Hand 0 Finger 2 Distal Bone Y,Hand 0 Finger 2 Distal Bone Z,Hand 0 Finger 3 Metacarpal Bone X,Hand 0 Finger 3 Metacarpal Bone Y,Hand 0 Finger 3 Metacarpal Bone Z,Hand 0 Finger 3 Proximal Bone X,Hand 0 Finger 3 Proximal Bone Y,Hand 0 Finger 3 Proximal Bone Z,Hand 0 Finger 3 Intermediate Bone X,Hand 0 Finger 3 Intermediate Bone Y,Hand 0 Finger 3 Intermediate Bone Z,Hand 0 Finger 3 Distal Bone X,Hand 0 Finger 3 Distal Bone Y,Hand 0 Finger 3 Distal Bone Z,Hand 0 Finger 4 Metacarpal Bone X,Hand 0 Finger 4 Metacarpal Bone Y,Hand 0 Finger 4 Metacarpal Bone Z,Hand 0 Finger 4 Proximal Bone X,Hand 0 Finger 4 Proximal Bone Y,Hand 0 Finger 4 Proximal Bone Z,Hand 0 Finger 4 Intermediate Bone X,Hand 0 Finger 4 Intermediate Bone Y,Hand 0 Finger 4 Intermediate Bone Z,Hand 0 Finger 4 Distal Bone X,Hand 0 Finger 4 Distal Bone Y,Hand 0 Finger 4 Distal Bone Z,Hand 1 Finger 0 Metacarpal Bone X,Hand 1 Finger 0 Metacarpal Bone Y,Hand 1 Finger 0 Metacarpal Bone Z,Hand 1 Finger 0 Proximal Bone X,Hand 1 Finger 0 Proximal Bone Y,Hand 1 Finger 0 Proximal Bone Z,Hand 1 Finger 0 Intermediate Bone X,Hand 1 Finger 0 Intermediate Bone Y,Hand 1 Finger 0 Intermediate Bone Z,Hand 1 Finger 0 Distal Bone X,Hand 1 Finger 0 Distal Bone Y,Hand 1 Finger 0 Distal Bone Z,Hand 1 Finger 1 Metacarpal Bone X,Hand 1 Finger 1 Metacarpal Bone Y,Hand 1 Finger 1 Metacarpal Bone Z,Hand 1 Finger 1 Proximal Bone X,Hand 1 Finger 1 Proximal Bone Y,Hand 1 Finger 1 Proximal Bone Z,Hand 1 Finger 1 Intermediate Bone X,Hand 1 Finger 1 Intermediate Bone Y,Hand 1 Finger 1 Intermediate Bone Z,Hand 1 Finger 1 Distal Bone X,Hand 1 Finger 1 Distal Bone Y,Hand 1 Finger 1 Distal Bone Z,Hand 1 Finger 2 Metacarpal Bone X,Hand 1 Finger 2 Metacarpal Bone Y,Hand 1 Finger 2 Metacarpal Bone Z,Hand 1 Finger 2 Proximal Bone X,Hand 1 Finger 2 Proximal Bone Y,Hand 1 Finger 2 Proximal Bone Z,Hand 1 Finger 2 Intermediate Bone X,Hand 1 Finger 2 Intermediate Bone Y,Hand 1 Finger 2 Intermediate Bone Z,Hand 1 Finger 2 Distal Bone X,Hand 1 Finger 2 Distal Bone Y,Hand 1 Finger 2 Distal Bone Z,Hand 1 Finger 3 Metacarpal Bone X,Hand 1 Finger 3 Metacarpal Bone Y,Hand 1 Finger 3 Metacarpal Bone Z,Hand 1 Finger 3 Proximal Bone X,Hand 1 Finger 3 Proximal Bone Y,Hand 1 Finger 3 Proximal Bone Z,Hand 1 Finger 3 Intermediate Bone X,Hand 1 Finger 3 Intermediate Bone Y,Hand 1 Finger 3 Intermediate Bone Z,Hand 1 Finger 3 Distal Bone X,Hand 1 Finger 3 Distal Bone Y,Hand 1 Finger 3 Distal Bone Z,Hand 1 Finger 4 Metacarpal Bone X,Hand 1 Finger 4 Metacarpal Bone Y,Hand 1 Finger 4 Metacarpal Bone Z,Hand 1 Finger 4 Proximal Bone X,Hand 1 Finger 4 Proximal Bone Y,Hand 1 Finger 4 Proximal Bone Z,Hand 1 Finger 4 Intermediate Bone X,Hand 1 Finger 4 Intermediate Bone Y,Hand 1 Finger 4 Intermediate Bone Z,Hand 1 Finger 4 Distal Bone X,Hand 1 Finger 4 Distal Bone Y,Hand 1 Finger 4 Distal Bone Z,Hand sign
-23.651453,-35.766907,27.982746,-30.374842,-25.216980,10.933369,-37.259113,-9.690765,-19.580711,-34.481209,-4.117645,-39.988365,-14.351727,1.842255,15.560995,-22.023701,14.005646,-20.537910,-26.531330,-4.757660,-28.101387,-24.900774,-14.171051,-16.551781,-0.339588,-1.592194,11.356381,-7.707867,6.864349,-23.940132,-16.573292,-13.783661,-28.365864,-15.180878,-23.279694,-13.659473,12.723431,-8.186737,9.090432,8.670998,-0.980408,-23.868019,-2.298939,-18.634979,-27.535782,-3.228664,-27.397156,-12.645306,24.209240,-17.890869,6.789677,23.836063,-8.479980,-22.072296,12.270412,-19.376801,-26.715553,9.715076,-25.655365,-15.240158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
-23.538748,-35.785065,28.059332,-30.233124,-25.270630,10.978669,-37.007874,-9.817108,-19.578812,-34.085220,-4.308105,-39.971905,-14.344116,1.824493,15.556433,-22.035976,13.818176,-20.474064,-26.482281,-5.034241,-27.880230,-24.841064,-14.373779,-16.255268,-0.314346,-1.565643,11.371466,-7.740528,6.863342,-23.950859,-16.586910,-13.805054,-28.392437,-15.177608,-23.334686,-13.706451,12.752224,-8.147766,9.091866,8.653404,-0.979309,-23.879810,-2.310982,-18.665344,-27.542805,-3.250381,-27.446564,-12.661633,24.243443,-17.841553,6.781784,23.830219,-8.466217,-22.095303,12.262211,-19.385803,-26.726860,9.682484,-25.656097,-15.250317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
-23.342945,-35.751282,28.073278,-30.037996,-25.294342,10.948633,-36.798458,-9.882019,-19.657383,-33.845833,-4.307037,-40.050564,-14.376781,1.801941,15.572034,-22.217512,13.927612,-20.690403,-26.595970,-4.742462,-28.314785,-24.780602,-14.137085,-16.776432,-0.354397,-1.569885,11.360682,-7.853317,6.958313,-24.150021,-16.473789,-13.560852,-28.724003,-14.793510,-23.159485,-14.075138,12.770710,-8.057373,9.141275,8.609234,-0.771790,-23.987858,-2.220787,-18.351349,-27.768490,-3.000599,-27.240967,-12.913460,24.340267,-17.690247,6.876564,23.872311,-8.204346,-22.111263,12.315685,-19.075867,-26.872639,9.733143,-25.489960,-15.469051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
-23.482693,-35.759094,28.080359,-30.174789,-25.257965,10.984910,-36.908516,-9.782501,-19.580978,-33.921890,-4.182220,-39.955559,-14.351715,1.800751,15.556326,-22.186743,13.957367,-20.656517,-26.662767,-4.776947,-28.329823,-24.921497,-14.272125,-16.863888,-0.327778,-1.557617,11.377142,-7.789284,6.973541,-24.121574,-16.558777,-13.602203,-28.741600,-15.069923,-23.220551,-14.110680,12.766792,-8.092316,9.120744,8.658047,-0.846161,-23.987064,-2.268204,-18.471222,-27.783424,-3.205959,-27.328461,-12.937126,24.283852,-17.761505,6.818840,23.870285,-8.329254,-22.153999,12.297356,-19.225983,-26.909004,9.640926,-25.590088,-15.495628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
-23.605318,-35.905487,27.943151,-30.307653,-25.356873,10.888583,-37.050983,-9.826111,-19.624376,-34.057243,-4.236694,-39.979897,-14.334129,1.738159,15.527796,-22.177576,14.120422,-20.625406,-26.741760,-4.595184,-28.467829,-25.018270,-14.233521,-17.130896,-0.307499,-1.584137,11.388538,-7.757339,7.141754,-24.082548,-16.659473,-13.464905,-28.894648,-15.282299,-23.246979,-14.383062,12.764977,-8.144714,9.093184,8.690849,-0.754059,-23.984045,-2.327126,-18.417664,-27.935316,-3.363297,-27.391571,-13.189222,24.212761,-17.855286,6.707043,23.867424,-8.313324,-22.232538,12.273361,-19.215912,-27.093893,9.547367,-25.640900,-15.744680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
-23.614676,-35.937408,27.913977,-30.287502,-25.420166,10.830029,-37.000454,-9.945923,-19.719625,-34.016426,-4.392578,-40.086761,-14.336594,1.718781,15.522333,-22.150028,14.071869,-20.585146,-26.674152,-4.663116,-28.363058,-24.943947,-14.248047,-16.978682,-0.301601,-1.588440,11.391911,-7.740437,7.142151,-24.056993,-16.655487,-13.484985,-28.872866,-15.316948,-23.281219,-14.368189,12.769489,-8.148499,9.088293,8.701328,-0.769165,-23.957926,-2.325260,-18.463196,-27.899652,-3.381805,-27.431946,-13.158373,24.207470,-17.861023,6.686922,23.871090,-8.327087,-22.233381,12.273029,-19.253540,-27.097086,9.530605,-25.667877,-15.754000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
-23.639359,-35.827759,28.033953,-30.264164,-25.329773,10.918908,-36.910614,-9.924438,-19.681030,-33.914566,-4.463074,-40.074451,-14.253727,1.784546,15.592926,-22.120102,14.082977,-20.430882,-26.728855,-4.674316,-28.076389,-25.043648,-14.177368,-16.616627,-0.242840,-1.582458,11.397322,-7.815002,7.128540,-23.969986,-16.858269,-13.493042,-28.681919,-15.511372,-23.258850,-14.165295,12.781132,-8.209290,9.021216,8.573734,-0.879791,-23.950581,-2.573593,-18.566650,-27.767254,-3.611931,-27.481140,-13.001308,24.151836,-17.978973,6.558174,23.710117,-8.505127,-22.326061,12.026684,-19.409119,-27.076946,9.306622,-25.747070,-15.694050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
-23.624050,-35.904419,27.915480,-30.243343,-25.406860,10.795432,-36.896080,-9.995148,-19.810381,-33.948566,-4.499054,-40.220741,-14.299683,1.731049,15.566114,-22.071850,14.084625,-20.455957,-26.630909,-4.661407,-28.141623,-25.009802,-14.195740,-16.682692,-0.270355,-1.609924,11.390920,-7.754688,7.181610,-24.000929,-16.735855,-13.417206,-28.794844,-15.418713,-23.209259,-14.288931,12.767410,-8.215485,9.026787,8.638447,-0.809631,-23.954454,-2.440247,-18.477997,-27.833796,-3.485184,-27.417389,-13.076048,24.184814,-17.945801,6.591217,23.792572,-8.393890,-22.283060,12.167831,-19.292236,-27.080828,9.468849,-25.677765,-15.711092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
-23.571760,-35.996918,27.798931,-30.218689,-25.428619,10.732543,-36.971931,-9.877563,-19.794996,-34.140396,-4.279419,-40.196938,-14.290573,1.674377,15.585494,-22.138002,14.298248,-20.473131,-26.763813,-4.340240,-28.394136,-25.138298,-14.000916,-17.066713,-0.272179,-1.656433,11.380840,-7.781292,7.275879,-23.976244,-16.740971,-13.265320,-28.812563,-15.378086,-23.057739,-14.310236,12.766911,-8.250488,8.986874,8.605038,-0.688263,-23.976145,-2.436382,-18.298218,-27.904661,-3.402637,-27.283600,-13.160231,24.204739,-17.961273,6.523035,23.775539,-8.254456,-22.325991,12.174152,-19.094604,-27.150339,9.547054,-25.542664,-15.789217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
-23.549711,-36.036102,27.728287,-30.194187,-25.429169,10.684345,-36.942921,-9.788849,-19.802687,-34.109161,-4.099152,-40.183311,-14.323387,1.644135,15.563564,-22.125580,14.272125,-20.488260,-26.706955,-4.388855,-28.433771,-25.075985,-14.066925,-17.125406,-0.296036,-1.669434,11.374825,-7.730228,7.207672,-23.937551,-16.643333,-13.371857,-28.712900,-15.315552,-23.102203,-14.163736,12.756935,-8.244537,9.000505,8.653828,-0.699432,-23.937674,-2.329803,-18.331299,-27.845743,-3.289803,-27.286896,-13.078020,24.226433,-17.927582,6.564293,23.834129,-8.215607,-22.265696,12.278770,-19.077545,-27.089289,9.676971,-25.522552,-15.717783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
